Zip Code,City,Pills,Tax Returns,AGI thousands,Population,Death Rate
92832,FULLERTON,501530,10075,436483,24752,12.07
91104,PASADENA,498580,16206,963944,36751,2.82
95542,GARBERVILLE,488300,918,33705,2533,43.19
92701,SANTA ANA,487530,19430,544657,53908,10.38
90245,EL SEGUNDO,483850,9463,884649,16654,4.52
94123,SAN FRANCISCO,482770,14648,2899430,23088,18.0
94904,GREENBRAE,480400,5951,1210988,11995,7.14
95320,ESCALON,475050,5345,297572,12819,15.69
94014,COLMA,473100,21665,1035709,47014,3.36
90744,WILMINGTON,469440,20737,666795,53815,4.89
94030,MILLBRAE,467200,10849,907015,21536,3.02
91311,CHATSWORTH,465460,17422,1344084,36557,1.72
91311,CHATSWORTH,465460,17422,1344084,36557,1.72
94947,NOVATO,464260,11282,882140,24283,6.17
95829,SACRAMENTO,463130,10786,626267,24755,4.88
92805,ANAHEIM,455515,27820,1044765,70401,7.68
92301,ADELANTO,453800,10629,314133,32725,3.79
93728,FRESNO,453300,5925,177557,15743,17.6
95203,STOCKTON,448600,6039,193197,15696,6.35
92124,SAN DIEGO,448190,12763,884542,30443,4.05
92610,FOOTHILL RANCH,445115,4702,456435,11248,10.77
91010,DUARTE,441400,11484,548276,26074,4.55
91103,PASADENA,436100,11617,761206,27480,7.53
90059,LOS ANGELES,435100,15329,382055,40952,6.39
94597,WALNUT CREEK,433460,11196,910388,20277,6.01
92252,JOSHUA TREE,420400,3490,126991,9647,6.2
91932,IMPERIAL BEACH,415700,11440,430955,25718,6.62
91766,POMONA,413670,26635,936109,71599,1.36
91766,POMONA,413670,26635,936109,71599,1.36
92127,SAN DIEGO,413590,15891,1887938,39337,6.54
96020,CHESTER,413400,1290,58181,2416,65.33
94605,OAKLAND,412800,19078,965584,39016,2.2
95116,SAN JOSE,408820,19825,698682,51496,4.4
92113,SAN DIEGO,405820,18240,471171,56066,2.5
92130,SAN DIEGO,403650,20425,3295764,48940,4.41
93638,MADERA,403300,20023,541020,49068,2.57
94585,SUISUN CITY,399530,12324,634570,28263,4.41
93930,KING CITY,396470,7340,258650,15866,12.26
92844,GARDEN GROVE,392640,9739,335052,24307,10.83
95953,LIVE OAK,389800,3888,149768,10718,20.41
90670,SANTA FE SPRINGS,388430,6983,367087,14866,7.9
91352,SUN VALLEY,382600,19422,730804,47807,3.54
91791,WEST COVINA,382300,14323,876342,32414,2.97
91732,EL MONTE,380900,23846,730227,61386,4.96
92122,SAN DIEGO,379700,18717,1423055,43728,8.13
90044,LOS ANGELES,378960,34234,870076,89779,1.11
94062,REDWOOD CITY,377300,12581,3328418,25876,2.96
92551,MORENO VALLEY,375300,11758,427671,30815,7.1
95121,SAN JOSE,372940,16582,911678,37469,6.69
90038,HOLLYWOOD,372890,12677,410077,28917,2.38
94116,SAN FRANCISCO,370100,22089,1659772,43698,1.83
91737,RANCHO CUCAMONGA,369970,10776,861806,24740,5.59
92887,YORBA LINDA,369380,9481,1038422,20006,9.3
93110,SANTA BARBARA,367740,7343,745360,16829,4.07
90019,LOS ANGELES,365930,27788,1154185,64458,1.54
92118,CORONADO,365760,7846,815246,23575,5.07
93702,FRESNO,365100,15060,339680,48607,2.72
92102,SAN DIEGO,364300,18186,589553,43267,7.78
90042,LOS ANGELES,362160,25942,1014290,62430,1.23
93001,VENTURA,359600,15103,831190,32990,19.91
96022,COTTONWOOD,358500,6159,289843,15768,4.82
95112,SAN JOSE,358450,21694,1058312,55927,2.82
95947,GREENVILLE,347200,696,28880,1899,114.63
92394,VICTORVILLE,347060,10733,397866,33237,3.6
94134,SAN FRANCISCO,344200,19225,828753,40798,9.85
92320,CALIMESA,343720,3384,159817,7788,24.04
91306,WINNETKA,343630,19697,850291,45061,1.83
92116,SAN DIEGO,343040,18000,913981,31680,11.29
94949,NOVATO,340400,8183,701880,17202,3.93
94132,SAN FRANCISCO,339600,12046,762668,28129,5.03
94002,BELMONT,335900,13009,1439188,25992,3.37
90037,LOS ANGELES,332370,22940,537099,62276,1.73
92107,SAN DIEGO,328570,14874,957401,28651,9.33
94560,NEWARK,323820,19669,1176363,42573,6.09
93458,SANTA MARIA,318400,23084,632447,55431,3.38
95458,LUCERNE,318400,928,32135,3104,43.47
94121,SAN FRANCISCO,315620,21426,1827503,41203,3.7
92841,GARDEN GROVE,309196,13731,559364,32845,5.9
95006,BOULDER CREEK,309010,4119,327477,8979,25.53
91406,VAN NUYS,293962,22311,956830,51558,1.9
90013,LOS ANGELES,293960,4200,314831,11772,10.28
94702,BERKELEY,290200,8308,467418,15979,4.29
90012,LOS ANGELES,288480,9348,381940,31103,3.46
92808,ANAHEIM HILLS,285600,8863,854007,20039,3.68
92029,ESCONDIDO,285600,8584,705356,19021,5.65
94127,SAN FRANCISCO,285540,9986,1327602,19289,8.27
92883,CORONA,281800,11696,846997,29301,4.54
95315,DELHI,281100,4517,149619,13018,9.48
93307,BAKERSFIELD,279300,27103,765747,82658,1.53
90232,CULVER CITY,277260,8243,1161570,15149,5.64
95111,SAN JOSE,276000,23963,981344,58466,3.95
92707,SANTA ANA,275660,26422,884917,59492,4.12
92663,NEWPORT BEACH,274420,11027,1396328,21649,10.08
94706,ALBANY,271200,8748,637447,19615,13.07
95304,TRACY,265900,4756,382414,15706,10.69
95209,STOCKTON,259620,16127,852449,39488,4.26
92866,ORANGE,256710,7217,345821,14885,6.14
92596,WINCHESTER,256200,8558,501165,23172,4.52
93433,GROVER BEACH,255000,5445,244914,13162,18.29
94133,SAN FRANCISCO,250180,13653,1399497,26237,7.54
92612,IRVINE,249620,10771,989318,27522,3.43
92582,SAN JACINTO,246700,5392,230837,15649,7.16
96122,PORTOLA,244800,1576,69397,3883,36.62
96094,WEED,235200,2593,126794,6630,11.53
94131,SAN FRANCISCO,228300,15633,1735187,26881,5.16
90043,LOS ANGELES,226300,20679,838678,44789,2.55
94043,MOUNTAIN VIEW,224930,14361,1459534,28358,2.21
93704,FRESNO,224020,11655,596901,27156,5.22
95379,TUOLUMNE,218400,1634,80237,3898,28.78
95454,LAYTONVILLE,214600,958,29936,2556,66.48
94703,BERKELEY,214000,9508,526022,19846,3.39
94939,LARKSPUR,211500,3412,727671,6859,8.7
94580,SAN LORENZO,206900,12773,635869,27152,6.17
95136,SAN JOSE,205700,19923,1391009,42989,2.2
92703,SANTA ANA,201390,25149,697070,65445,6.38
92606,IRVINE,200120,8879,735635,21495,3.86
96027,ETNA,198900,854,39962,2227,71.05
93701,FRESNO,196500,3301,63901,12529,20.72
91208,GLENDALE,194140,7551,731680,16245,6.72
95219,STOCKTON,192850,11826,957784,27884,11.12
95451,KELSEYVILLE,192400,4387,200278,11213,12.29
95247,MURPHYS,191500,1964,109418,4368,16.21
95070,SARATOGA,191420,14867,3746136,30617,4.17
95959,NEVADA CITY,190050,8178,504674,17838,3.7
90621,BUENA PARK,188960,14403,619992,35153,11.31
94086,SUNNYVALE,188300,22506,1894454,45697,1.19
90031,LOS ANGELES,186940,15508,470287,39316,2.59
90062,LOS ANGELES,184460,13241,363155,32821,6.38
94107,SAN FRANCISCO,183500,15066,1837933,26599,4.07
90755,SIGNAL HILL,183400,5340,334409,11074,8.49
92679,TRABUCO CANYON,180800,13581,2259407,32611,8.76
92620,IRVINE,176200,17367,1786515,38486,9.04
95460,MENDOCINO,171900,1484,81570,2285,67.4
95322,GUSTINE,171620,3444,136084,8942,11.84
95973,CHICO,164730,13559,726154,31957,5.34
90029,LOS ANGELES,157910,16709,498110,38617,2.0
93460,SANTA YNEZ,153600,2871,313130,5255,32.92
90304,INGLEWOOD,152300,11281,299743,28210,2.7
93223,FARMERSVILLE,151200,3452,90837,10604,8.52
90001,LOS ANGELES,148900,20342,492447,57110,2.23
94111,SAN FRANCISCO,148500,2666,1454125,3713,44.03
90746,CARSON,138900,13042,663499,25990,3.34
95358,MODESTO,135590,11756,450130,31668,2.7
93625,FOWLER,133800,3050,134181,7313,14.03
92082,VALLEY CENTER,133260,8273,538037,19037,3.67
96118,LOYALTON,131200,590,27153,1627,91.08
90063,LOS ANGELES,129860,19880,544174,55758,2.24
94104,SAN FRANCISCO,124100,1364,377027,406,117.67
92861,VILLA PARK,115500,2771,495737,5781,11.18
93204,AVENAL,112300,4075,100383,15529,4.67
95436,FORESTVILLE,112200,2650,144266,5418,22.37
91746,LA PUENTE,103140,12631,439528,30485,3.59
92614,IRVINE,102120,11333,1186431,24748,6.31
92139,SAN DIEGO,93500,15624,665089,35125,6.77
90005,LOS ANGELES,92060,14366,588052,37681,2.64
94065,REDWOOD CITY,90400,5722,1081525,11359,23.24
93250,MC FARLAND,88700,4722,128978,13522,11.19
95827,SACRAMENTO,88530,9375,409961,20269,7.84
94515,CALISTOGA,87800,3311,222932,7050,15.97
92114,SAN DIEGO,78500,28153,1089093,65433,3.23
94618,OAKLAND,68000,8513,1197371,16046,5.44
95110,SAN JOSE,67100,7977,439984,18730,5.61
92410,SAN BERNARDINO,52400,16594,395442,49410,5.19
93465,TEMPLETON,47320,4275,301855,9153,16.38
93730,FRESNO,44742,4229,506519,9941,10.56
90032,LOS ANGELES,29800,18500,640954,45786,2.44
90003,LOS ANGELES,12900,25160,581608,66266,4.07
90021,LOS ANGELES,6600,1336,88268,3951,12.92
93035,OXNARD,4600,12760,823061,27732,3.95
92003,BONSALL,3500,2574,179246,4746,19.28
95065,SANTA CRUZ,3300,3692,285352,8113,12.12
95631,FORESTHILL,2000,2674,156318,6076,8.06
93619,CLOVIS,700,12410,1189857,28965,3.84
95673,RIO LINDA,600,6284,269360,15455,7.49
95327,JAMESTOWN,600,2552,108970,9806,27.54
95709,CAMINO,600,2236,127494,4772,36.43
94130,SAN FRANCISCO,400,913,28955,2880,25.28
92405,SAN BERNARDINO,400,10918,333224,28873,3.48
95693,WILTON,200,3067,245881,6758,8.52
95033,LOS GATOS,200,4012,552488,9372,5.35
93725,FRESNO,180,9020,280513,24979,4.43
95215,STOCKTON,130,8467,316574,23224,35.97
94930,FAIRFAX,100,4029,319932,8500,5.44
94951,PENNGROVE,100,2044,141704,4124,22.48
