Zip Code,City,Pills,Tax Returns,AGI thousands,Population,Death Rate
93446,PASO ROBLES,2112230,17875,1056421,43714,2.63
93555,RIDGECREST,2108740,13093,750708,32560,2.15
93940,MONTEREY,2101120,13729,1086442,31615,3.68
92120,SAN DIEGO,2088390,13577,956061,26317,12.56
92024,ENCINITAS,2072940,23923,2477506,49121,11.45
92835,FULLERTON,2072200,11158,1039978,24010,3.11
95608,CARMICHAEL,2054784,26697,1743602,59418,13.86
93711,FRESNO,2053290,17323,1581040,36731,16.07
91403,SHERMAN OAKS,2042340,13298,1701461,23484,10.81
95815,SACRAMENTO,2041560,8984,266619,24680,18.15
95678,ROSEVILLE,2030360,18980,1032363,41192,4.37
95301,ATWATER,2009370,14064,601302,37073,2.65
94928,ROHNERT PARK,2004470,18033,890177,43170,6.81
92123,SAN DIEGO,1992920,13242,791299,26823,3.46
92399,YUCAIPA,1991570,21142,1202337,52606,6.29
91730,RANCHO CUCAMONGA,1983946,28320,1399888,66925,1.52
95628,FAIR OAKS,1982400,19752,1396537,40196,1.28
94509,ANTIOCH,1979350,26252,1180269,62439,5.97
90630,CYPRESS,1966300,22555,1485267,47993,1.54
90630,CYPRESS,1966300,22555,1485267,47993,1.54
92626,COSTA MESA,1957670,23182,1477381,49341,3.33
95648,LINCOLN,1952170,21233,1388233,47354,2.78
93722,FRESNO,1941210,29712,1279320,76448,6.98
93637,MADERA,1920440,14042,587596,37743,12.58
95405,SANTA ROSA,1918660,10744,707301,21399,25.23
95822,SACRAMENTO,1903260,18844,827034,42347,3.32
92647,HUNTINGTON BEACH,1897760,26278,1536288,57245,1.55
95403,SANTA ROSA,1891690,19376,1182120,45164,14.17
92691,MISSION VIEJO,1884980,22200,1555283,47582,13.72
92544,HEMET,1879460,16306,720055,44734,1.86
92376,RIALTO,1872710,30836,978361,81516,1.35
92507,RIVERSIDE,1867110,18822,714600,58002,4.68
92243,EL CENTRO,1854570,17960,723845,48030,1.96
93906,SALINAS,1853280,23928,993220,59461,3.83
95820,SACRAMENTO,1851920,14730,501641,34480,3.5
94954,PETALUMA,1849680,17088,1087008,37365,10.03
92069,SAN MARCOS,1849590,18668,943767,46369,12.74
90731,SAN PEDRO,1844670,24462,1146532,59662,1.85
92591,TEMECULA,1835130,15881,943869,38272,2.49
96150,SOUTH LAKE TAHOE,1835100,6401,280302,29792,4.23
95540,FORTUNA,1833390,5422,251496,13657,31.5
95242,LODI,1832360,11033,689485,25393,16.17
92683,WESTMINSTER,1831470,39298,1715190,89747,3.94
92504,RIVERSIDE,1807280,21181,926496,53778,1.95
93422,ATASCADERO,1794480,12826,735950,31375,12.58
95476,SONOMA,1789730,14915,1125609,35394,3.83
92804,ANAHEIM,1784180,34429,1306972,85914,10.66
90045,LOS ANGELES,1782398,17956,1502726,39480,3.0
94513,BRENTWOOD,1782180,22776,1642582,54605,1.96
95382,TURLOCK,1776360,14019,778758,36176,3.47
94903,SAN RAFAEL,1771990,14072,1295448,29040,9.73
93312,BAKERSFIELD,1771460,22060,1590473,56741,4.23
91360,THOUSAND OAKS,1753465,19571,1445520,42402,8.97
95062,SANTA CRUZ,1747670,16576,949481,36079,11.5
92128,RANCHO BERNARDO,1741990,22331,1836521,47490,2.35
93010,CAMARILLO,1733534,19811,1491327,42901,12.99
90250,HAWTHORNE,1730270,40881,1557785,93193,2.26
96097,YREKA,1719735,4110,184734,10031,10.42
92840,GARDEN GROVE,1706270,22697,887660,54083,7.91
92660,NEWPORT BEACH,1704165,16731,3635327,34797,9.45
92677,LAGUNA NIGUEL,1692090,29636,3163371,63297,23.31
92374,REDLANDS,1691340,16548,887113,40267,2.59
91304,CANOGA PARK,1676900,21334,1130725,50231,3.58
91304,CANOGA PARK,1676900,21334,1130725,50231,3.58
94110,SAN FRANCISCO,1671100,38013,2560914,69333,15.46
93420,ARROYO GRANDE,1670440,12326,857654,28413,12.7
95819,SACRAMENTO,1660230,8811,733949,17141,12.93
90660,PICO RIVERA,1658170,26987,1008155,62928,3.24
94102,SAN FRANCISCO,1653160,13567,682120,31176,48.33
91351,CANYON COUNTRY,1652920,14602,753666,32362,2.96
92583,SAN JACINTO,1630880,10290,355203,30236,9.71
92220,BANNING,1630260,12472,559818,31638,3.33
94109,SAN FRANCISCO,1620330,30980,2676631,55984,11.48
90048,LOS ANGELES,1615450,12996,1196303,21397,4.93
92545,HEMET,1600250,15015,614230,39457,5.46
94609,OAKLAND,1596300,10995,524803,20596,3.95
92407,SAN BERNARDINO,1594330,20727,833646,56689,5.86
92056,OCEANSIDE,1592615,24542,1315334,51835,2.92
90631,LA HABRA,1588710,29318,1651171,67619,4.04
90631,LA HABRA,1588710,29318,1651171,67619,4.04
94520,CONCORD,1587870,16236,632773,37208,3.09
90720,LOS ALAMITOS,1586650,10480,952636,21751,6.27
92346,HIGHLAND,1586300,22473,1277254,54923,1.89
95843,ANTELOPE,1571730,18593,902034,45048,2.32
92646,HUNTINGTON BEACH,1570160,27267,2050509,55224,8.61
93291,VISALIA,1552640,18160,1004740,52849,4.75
94501,ALAMEDA,1552100,29908,1984932,60212,1.49
93635,LOS BANOS,1548070,15177,617043,38776,3.0
93635,LOS BANOS,1548070,15177,617043,38776,3.0
95610,CITRUSHEIGHTS,1514790,19585,1346729,44147,9.36
95008,CAMPBELL,1497680,21859,1874396,45260,3.56
95337,MANTECA,1487810,12827,693533,31557,5.81
95503,EUREKA,1480190,9417,462183,24152,4.65
95660,NORTH HIGHLANDS,1477480,12474,391672,30714,12.24
92503,RIVERSIDE,1463210,33346,1463196,84519,1.13
95833,SACRAMENTO,1448800,16416,723741,37293,1.96
95747,ROSEVILLE,1439220,23293,1766882,51870,2.13
92704,SANTA ANA,1434890,37299,1251203,88123,1.25
94578,SAN LEANDRO,1429240,17317,737756,38558,2.13
95677,ROCKLIN,1425520,11226,713852,23333,2.82
90277,REDONDO BEACH,1425350,19341,1920926,35293,4.42
90815,LONG BEACH,1416660,18519,1354043,39733,3.25
92054,OCEANSIDE,1412990,17664,792961,40375,16.37
92234,CATHEDRAL CITY,1411040,20034,739817,51151,8.09
92110,SAN DIEGO,1409200,12044,693664,25341,14.85
93444,NIPOMO,1404120,8652,531241,19244,10.32
92101,SAN DIEGO,1403480,18177,1396608,37095,29.84
92592,TEMECULA,1401830,28158,2072660,72492,1.65
92037,LA JOLLA,1397390,18408,3353974,46781,2.73
92586,SUN CITY,1397380,9164,352954,19815,12.41
95020,GILROY,1397120,23288,1551097,57349,1.64
92027,ESCONDIDO,1396800,22364,1041233,53881,1.77
95060,SANTA CRUZ,1393750,18743,1460873,46377,13.93
90713,LAKEWOOD,1392400,13182,831144,27925,3.72
93662,SELMA,1389960,12198,418066,30237,8.25
93535,LANCASTER,1387400,25830,905067,72046,2.93
90650,NORWALK,1386790,43208,1673809,105549,1.12
92154,SAN DIEGO,1386300,36256,1445658,79708,0.96
92126,SAN DIEGO,1386300,33074,1832812,73343,2.81
94589,VALLEJO,1382080,12994,549817,29876,2.29
90620,BUENA PARK,1374560,20432,1019363,45113,2.23
95817,SACRAMENTO,1369900,5508,209275,13534,7.09
92882,CORONA,1364960,27227,1457575,67917,3.07
91324,NORTHRIDGE,1356230,12126,727352,27669,4.27
90732,SAN PEDRO,1352450,9973,749749,21115,10.01
