BUYER_ZIP,TRANSACTION_DATE,DOSAGE_UNIT,Ingredient_Name
91942,1112011,100.0,OXYCODONE HYDROCHLORIDE
91942,1252011,1000.0,OXYCODONE HYDROCHLORIDE
91942,2082011,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,2222011,100.0,OXYCODONE HYDROCHLORIDE
91942,2222011,100.0,OXYCODONE HYDROCHLORIDE
91942,3082011,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,3282011,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,4072011,100.0,OXYCODONE HYDROCHLORIDE
91942,4222011,100.0,OXYCODONE HYDROCHLORIDE
91942,5032011,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,6012011,300.0,OXYCODONE HYDROCHLORIDE
91942,6212011,900.0,OXYCODONE HYDROCHLORIDE
91942,7182011,200.0,OXYCODONE HYDROCHLORIDE
91942,7212011,200.0,OXYCODONE HYDROCHLORIDE
91942,7292011,100.0,OXYCODONE HYDROCHLORIDE
91942,8082011,100.0,OXYCODONE HYDROCHLORIDE
91942,8262011,100.0,OXYCODONE HYDROCHLORIDE
91942,10052011,100.0,OXYCODONE HYDROCHLORIDE
91942,10072011,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,10102011,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,10112011,200.0,OXYCODONE HYDROCHLORIDE
91942,10142011,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,11082011,200.0,OXYCODONE HYDROCHLORIDE
91942,12072011,100.0,OXYCODONE HYDROCHLORIDE
91942,1162012,100.0,OXYCODONE HYDROCHLORIDE
91942,2072012,200.0,OXYCODONE HYDROCHLORIDE
91942,3222012,100.0,OXYCODONE HYDROCHLORIDE
91942,6152012,700.0,OXYCODONE HYDROCHLORIDE
91942,6182012,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,7032012,300.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,8142012,100.0,OXYCODONE HYDROCHLORIDE
91942,8242012,200.0,OXYCODONE HYDROCHLORIDE
91942,8282012,100.0,OXYCODONE HYDROCHLORIDE
91942,8292012,200.0,OXYCODONE HYDROCHLORIDE
91942,9102012,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,9102012,300.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,9132012,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,10122012,200.0,OXYCODONE HYDROCHLORIDE
91942,11012012,300.0,OXYCODONE HYDROCHLORIDE
91942,11052012,100.0,OXYCODONE HYDROCHLORIDE
91942,11122012,200.0,OXYCODONE HYDROCHLORIDE
91942,11212012,400.0,OXYCODONE HYDROCHLORIDE
91942,12032012,100.0,OXYCODONE HYDROCHLORIDE
91942,12032012,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,12142012,200.0,OXYCODONE HYDROCHLORIDE
93023,1312006,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93023,3072006,100.0,OXYCODONE HYDROCHLORIDE
93023,6022006,300.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93023,2132009,100.0,OXYCODONE HYDROCHLORIDE
93023,9092011,600.0,OXYCODONE HYDROCHLORIDE
93023,10112011,400.0,OXYCODONE HYDROCHLORIDE
93023,1122012,2000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93023,1142012,200.0,OXYCODONE HYDROCHLORIDE
93023,2112012,100.0,OXYCODONE HYDROCHLORIDE
93023,4182012,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93023,5152012,400.0,OXYCODONE HYDROCHLORIDE
