ZipCode,City,Pills per Person per Day,AGI per Return,Death Rate
94550,LIVERMORE,3.0392340030752982,96831.451197226,1.63
90242,DOWNEY,1.3725808833926822,40867.61974447009,2.65
92010,CARLSBAD,2.009399115713516,73563.75241205284,12.55
95350,MODESTO,0.35140853347960666,42584.48753462604,2.19
95825,SACRAMENTO,0.5365822702249142,42830.86053412463,2.75
95926,CHICO,0.4317067458264114,44866.53659946528,0.92
95661,ROSEVILLE,0.48386958826859083,75876.15540150202,2.78
95823,SACRAMENTO,0.1871467837334669,31990.536387763656,5.96
96001,REDDING,0.4064130542504586,55142.69441069259,10.7
93534,LANCASTER,0.33759475022224017,36209.74196219125,6.05
95991,YUBA CITY,0.3119101781837681,41155.42971352432,8.61
93277,VISALIA,0.24870185536626452,49699.579725555726,2.14
95966,OROVILLE,0.40570976678398474,41668.269230769234,11.28
95210,STOCKTON,0.3070067778528102,30948.749913428906,4.7
93257,PORTERVILLE,0.15670871982718,36402.01483361758,1.86
95603,AUBURN,0.41232069868720644,62242.97478563545,5.85
92021,EL CAJON,0.17544301388389472,45077.399044724276,16.62
92307,APPLE VALLEY,0.29786857615062307,48421.173990381445,3.99
95370,SONORA,0.3994196110740006,50484.33974185396,25.27
93720,FRESNO,0.23008945592573138,72467.7848641591,12.17
95351,MODESTO,0.22344058589965188,28147.203635904556,18.46
92345,HESPERIA,0.13136553841281057,36666.48697214735,2.35
93454,SANTA MARIA,0.28313032941657545,41911.63075249813,6.56
93003,VENTURA,0.20438668816876288,62856.17150281507,4.65
95630,FOLSOM,0.14144775048679673,86030.74558032282,3.42
95240,LODI,0.21483257423430893,42731.32670952659,12.47
96002,REDDING,0.30407766479043125,44396.87284433203,11.02
92324,COLTON,0.1781357692918435,35719.422560626736,1.76
95667,PLACERVILLE,0.2694772618256336,57366.49248435585,5.1
94538,FREMONT,0.16175194968237852,64400.3388730668,1.57
93726,FRESNO,0.24103598729919415,30205.975464978234,6.34
94587,UNION CITY,0.139806978505786,64057.55004003202,1.45
92404,SAN BERNARDINO,0.16612083879219977,33054.4334290744,1.8
92553,MORENO VALLEY,0.13043150257557734,31533.195098963242,5.58
95422,CLEARLAKE,0.6071275066911018,28642.775097633817,55.07
93230,HANFORD,0.14291165575768974,47500.84182170216,4.14
95945,GRASS VALLEY,0.3649720824972941,47403.91868273388,8.17
95969,PARADISE,0.3331488550662157,46146.606501519476,15.24
94531,ANTIOCH,0.22671317876899327,62063.7217716053,6.75
91786,UPLAND,0.1774661349461653,44370.0,3.79
91786,UPLAND,0.1774661349461653,44370.0,3.79
92262,PALM SPRINGS,0.34327001617421055,47766.79503637142,16.25
93308,BAKERFIELD,0.17055391339619827,49510.71206789485,5.2
96007,ANDERSON,0.38430891817346,38396.3133640553,5.44
92395,VICTORVILLE,0.2058897647971052,53856.776989755715,4.49
95501,EUREKA,0.36351419913063754,38431.98172472873,27.4
95758,ELK GROVE,0.1427255139961308,59995.80104592129,5.33
94080,SOUTH SAN FRANCISCO,0.13465748071539074,61300.857315868314,3.56
95670,RANCHO CORDOVA,0.1615844101505316,53318.29019073569,5.05
92708,FOUNTAIN VALLEY,0.1527904562589952,67110.10477031124,4.86
93065,SIMI VALLEY,0.11789232893337798,71126.218040749,3.76
93274,TULARE,0.12230626451848296,42131.78006361796,3.34
94533,FAIRFIELD,0.1211036654320624,45927.190568409605,3.26
94114,SAN FRANCISCO,0.2671945888562409,126744.49381300464,11.78
95204,STOCKTON,0.29905274066273646,46155.25231719876,17.52
95356,MODESTO,0.2632699664246655,77295.67344442746,2.75
96003,REDDING,0.18226409292675463,46295.56565249899,21.0
95621,CITRUS HEIGHTS,0.19693565438403296,42859.03646526484,11.53
90806,LONG BEACH,0.18284807053151614,34621.84922089826,2.51
92335,FONTANA,0.0811949372061756,29328.648317019437,1.25
94590,VALLEJO,0.21729616422886225,39693.20277230241,5.56
96130,SUSANVILLE,0.3312275511109796,50496.07374530556,26.23
95928,CHICO,0.20962869887588764,56412.866387514274,8.59
92103,SAN DIEGO,0.24313326730804674,76076.88248641233,2.04
95380,TURLOCK,0.180375991671967,37555.50425433678,3.43
92648,HUNTINGTON BEACH,0.16178312834912417,101063.12819608535,5.65
95205,STOCKTON,0.19217592281067147,25901.58061116965,12.41
92284,YUCCA VALLEY,0.28965547358394267,40661.07688797627,4.23
95816,SACRAMENTO,0.46380841086569824,55840.70883101625,9.65
92543,HEMET,0.21292296638314115,29954.671683239274,11.23
94558,NAPA,0.10689973947390537,69696.2584923447,3.35
93612,CLOVIS,0.20158155608161285,36469.970845481046,9.46
95207,STOCKTON,0.14814912129135258,41085.36330371145,6.77
93536,LANCASTER,0.0999835040044319,59089.624452807,3.72
93536,LANCASTER,0.0999835040044319,59089.624452807,3.72
94611,OAKLAND,0.19208802489093357,142327.53534737058,3.96
94553,MARTINEZ,0.1478520670189435,68779.97900813435,5.92
91355,SANTA CLARITA,0.2118458174118181,81942.03385276733,3.11
93727,FRESNO,0.09565923942275781,39769.83380370022,14.23
91016,MONROVIA,0.16771863382162697,60376.162854328555,4.84
92705,SANTA ANA,0.1513882786105141,98561.89906840034,4.69
95687,VACAVILLE,0.10383063328176215,57444.47841039358,3.45
93611,CLOVIS,0.14810641529787477,63510.87592405467,4.59
93030,OXNARD,0.11337764492094886,41769.69923407435,6.5
93710,FRESNO,0.2221244533383891,40692.24077940153,26.18
92392,VICTORVILLE,0.12164607302440122,41241.87042477964,4.24
95531,CRESCENT CITY,0.2713633398564905,43172.3101058962,6.46
