Zip Code,2010 Pills
92637,703230
92646,1570160
92647,1897760
92648,2676007
92649,1153800
92651,559880
92653,1033869
92656,684710
92657,60400
92660,1704165
92661,41920
92662,1100
92663,274420
92669,0
92672,536315
92673,1011475
92675,885230
92677,1692090
92679,180800
92683,1831470
92688,616730
92691,1884980
92692,1020000
92694,472125
92701,487530
92703,201390
92704,1434890
92705,2470307
92706,616640
92707,275660
92708,3123260
92715,0
92780,1270670
92782,518660
92801,1312080
92802,604470
92803,0
92804,1784180
92805,455515
92806,1204780
92807,1699250
92808,285600
92821,988320
92822,0
92831,516780
92832,501530
92833,974150
92834,1000
92835,2072200
92840,1706270
92841,309196
92843,702855
92844,392640
92845,723130
92860,957400
92861,115500
92865,826200
92866,256710
92867,828710
92868,1129396
92869,1043200
92870,1338930
92879,1580260
92880,6073560
92881,632025
92882,1364960
92883,281800
92886,917910
92887,369380
93001,359600
93003,3765418
93004,557700
93009,0
93010,1733534
93012,585780
93013,569000
93015,382420
93021,702120
93022,1100
93023,977130
93024,0
93030,2456982
93033,1236390
93035,4600
93036,957275
93041,679310
93060,1131720
93063,1217460
93065,3120070
93066,0
93067,0
93101,1432625
93103,461900
93105,1725360
93106,18500
93108,286900
93109,332530
93110,367740
93111,591190
93117,989610
93203,137800
93204,112300
93210,602630
93212,776260
93215,1075290
93219,0
93221,714720
93222,0
93223,151200
93225,291500
93230,3404350
93234,0
93235,6700
93238,967900
93240,743620
93241,187300
93243,0
93245,968770
93247,265370
93250,88700
93257,4290130
93263,384760
93265,3000
93268,790460
93271,103800
93274,3112470
93277,4593910
93280,251030
93286,247200
93291,1552640
93292,1158610
93301,3561730
93304,1281660
93305,911770
93306,2381150
93307,279300
93308,3264940
93309,2522829
93311,1406041
93312,1771460
93313,1696760
93314,164800
93380,0
93401,1177100
93402,870860
93405,781860
93407,8700
93409,0
93420,1670440
93422,1794480
93424,0
93427,284000
93428,270960
93430,146040
93433,255000
93434,96500
93436,2207300
93442,394290
93444,1404120
93446,2112230
93449,608784
93451,200
93454,3766630
93455,1047790
93456,0
93458,318400
93460,153600
93463,319670
93465,47320
93501,404800
93505,768650
93510,66900
93514,691700
93516,0
93529,200
93534,4847680
93535,1387400
93536,2588080
93539,0
93545,81460
93546,249900
93550,818900
93551,2363590
93552,1682570
93555,2108740
93560,639190
93561,1326460
93601,0
93602,100
93604,0
93609,91100
93610,742670
93611,2465840
93612,2601030
93614,0
93615,23200
93618,1036180
93619,700
93620,224100
93622,130390
93625,133800
93626,142840
93630,452400
93631,870600
93635,1548070
93636,28900
93637,1920440
93638,403300
93640,74200
93643,0
93644,1606660
93646,51500
93647,0
93648,102100
93650,233500
93651,308500
93654,784740
93656,91400
93657,849650
93660,17800
93662,1389960
93667,0
93701,196500
93702,365100
93703,1234220
93704,224020
93705,1080000
93706,837380
93710,2448640
93711,2053290
93720,3795260
93721,207890
93722,1941210
93725,180
93726,3581150
93727,2507640
93728,453300
93730,44742
93740,9100
93901,2351680
93905,778170
93906,1853280
93907,1157260
93908,500
93920,600
93921,76900
93922,0
93923,662730
93924,600
93926,148500
93927,236930
93930,396470
93933,854760
93940,2101120
93944,0
93950,456760
93955,1209400
93960,330930
94002,335900
94005,0
94010,683800
94014,473100
94015,1474950
94019,685860
94022,269900
94024,235760
94025,757180
94027,1824
94028,300
94030,467200
94037,0
94038,0
94040,1394810
94041,1408920
94043,224930
94044,828970
94060,0
94061,663530
94062,377300
94063,1882000
94065,90400
94066,1257700
94070,948570
94080,3144370
94085,200
94086,188300
94087,1199890
94102,1653160
94103,1093800
94104,124100
94105,158220
94107,183500
