Zip Code,Size AGI,Adjusted Gross Income,,,,,
91770,"$50,000 under $75,000",182794,,,,,
91770,"$75,000 under $100,000",118414,,,,,
91770,"$100,000 under $200,000",150828,,,,,
91770,"$200,000 or more",173326,,,,,
91773,"$1 under $25,000",64115,,,,,
91773,"$25,000 under $50,000",121267,,,,,
91773,"$50,000 under $75,000",146332,,,,,
91773,"$75,000 under $100,000",148709,,,,,
91773,"$100,000 under $200,000",359606,,,,,
91773,"$200,000 or more",218399,,,,,
91775,"$1 under $25,000",45802,,,,,
91775,"$25,000 under $50,000",82158,,,,,
91775,"$50,000 under $75,000",86618,,,,,
91775,"$75,000 under $100,000",87421,,,,,
91775,"$100,000 under $200,000",242483,,,,,
91775,"$200,000 or more",168987,,,,,
91776,"$1 under $25,000",111053,,,,,
91776,"$25,000 under $50,000",158047,,,,,
91776,"$50,000 under $75,000",117621,,,,,
91776,"$75,000 under $100,000",75569,,,,,
91776,"$100,000 under $200,000",118965,,,,,
91776,"$200,000 or more",49599,,,,,
91780,"$1 under $25,000",78093,,,,,
91780,"$25,000 under $50,000",136595,,,,,
91780,"$50,000 under $75,000",145899,,,,,
91780,"$75,000 under $100,000",125405,,,,,
91780,"$100,000 under $200,000",251859,,,,,
91780,"$200,000 or more",91234,,,,,
91784,"$1 under $25,000",40662,,,,,
91784,"$25,000 under $50,000",69695,,,,,
91784,"$50,000 under $75,000",96942,,,,,
91784,"$75,000 under $100,000",115368,,,,,
91784,"$100,000 under $200,000",405436,,,,,
91784,"$200,000 or more",357289,,,,,
91786,"$1 under $25,000",124152,,,,,
91786,"$25,000 under $50,000",204950,,,,,
91786,"$50,000 under $75,000",185070,,,,,
91786,"$75,000 under $100,000",143247,,,,,
91786,"$100,000 under $200,000",247401,,,,,
91786,"$200,000 or more",66883,,,,,
91789,"$1 under $25,000",79503,,,,,
91789,"$25,000 under $50,000",144094,,,,,
91789,"$50,000 under $75,000",164648,,,,,
91789,"$75,000 under $100,000",162707,,,,,
91789,"$100,000 under $200,000",464513,,,,,
91789,"$200,000 or more",370689,,,,,
91790,"$1 under $25,000",102031,,,,,
91790,"$25,000 under $50,000",172869,,,,,
91790,"$50,000 under $75,000",169432,,,,,
91790,"$75,000 under $100,000",155054,,,,,
91790,"$100,000 under $200,000",234186,,,,,
91790,"$200,000 or more",33756,,,,,
91791,"$1 under $25,000",66056,,,,,
91791,"$25,000 under $50,000",118839,,,,,
91791,"$50,000 under $75,000",126865,,,,,
91791,"$75,000 under $100,000",118368,,,,,
91791,"$100,000 under $200,000",250219,,,,,
91791,"$200,000 or more",195995,,,,,
91792,"$1 under $25,000",67663,,,,,
91792,"$25,000 under $50,000",125825,,,,,
91792,"$50,000 under $75,000",126631,,,,,
91792,"$75,000 under $100,000",106138,,,,,
91792,"$100,000 under $200,000",160906,,,,,
91792,"$200,000 or more",25336,,,,,
91801,"$1 under $25,000",130114,,,,,
91801,"$25,000 under $50,000",232078,,,,,
91801,"$50,000 under $75,000",197691,,,,,
91801,"$75,000 under $100,000",146462,,,,,
91801,"$100,000 under $200,000",233290,,,,,
91801,"$200,000 or more",114537,,,,,
91803,"$1 under $25,000",78065,,,,,
91803,"$25,000 under $50,000",129821,,,,,
91803,"$50,000 under $75,000",115647,,,,,
91803,"$75,000 under $100,000",86301,,,,,
91803,"$100,000 under $200,000",138486,,,,,
91803,"$200,000 or more",34668,,,,,
91901,"$1 under $25,000",24829,,,,,
91901,"$25,000 under $50,000",47608,,,,,
91901,"$50,000 under $75,000",56231,,,,,
91901,"$75,000 under $100,000",61151,,,,,
91901,"$100,000 under $200,000",187034,,,,,
91901,"$200,000 or more",150052,,,,,
91902,"$1 under $25,000",33819,,,,,
91902,"$25,000 under $50,000",61855,,,,,
91902,"$50,000 under $75,000",67798,,,,,
91902,"$75,000 under $100,000",77723,,,,,
91902,"$100,000 under $200,000",211195,,,,,
91902,"$200,000 or more",163527,,,,,
91905,"$1 under $25,000",2626,,,,,
91905,"$25,000 under $50,000",5740,,,,,
91905,"$50,000 under $75,000",5185,,,,,
91905,"$75,000 under $100,000",4661,,,,,
91905,"$100,000 under $200,000",8047,,,,,
91905,"$200,000 or more",,,,,,
91906,"$1 under $25,000",5899,,,,,
91906,"$25,000 under $50,000",12519,,,,,
91906,"$50,000 under $75,000",13792,,,,,
91906,"$75,000 under $100,000",11302,,,,,
91906,"$100,000 under $200,000",17637,,,,,
91906,"$200,000 or more",,,,,,
91910,"$1 under $25,000",181627,,,,,
91910,"$25,000 under $50,000",331305,,,,,
91910,"$50,000 under $75,000",290615,,,,,
91910,"$75,000 under $100,000",236081,,,,,
91910,"$100,000 under $200,000",410079,,,,,
91910,"$200,000 or more",162002,,,,,
91911,"$1 under $25,000",221612,,,,,
91911,"$25,000 under $50,000",380061,,,,,
91911,"$50,000 under $75,000",300031,,,,,
91911,"$75,000 under $100,000",208339,,,,,
91911,"$100,000 under $200,000",258010,,,,,
91911,"$200,000 or more",47975,,,,,
91913,"$1 under $25,000",57875,,,,,
91913,"$25,000 under $50,000",130621,,,,,
91913,"$50,000 under $75,000",164051,,,,,
91913,"$75,000 under $100,000",184078,,,,,
91913,"$100,000 under $200,000",436236,,,,,
91913,"$200,000 or more",98234,,,,,
91914,"$1 under $25,000",18950,,,,,
91914,"$25,000 under $50,000",38006,,,,,
91914,"$50,000 under $75,000",50426,,,,,
91914,"$75,000 under $100,000",67078,,,,,
91914,"$100,000 under $200,000",217907,,,,,
91914,"$200,000 or more",161762,,,,,
91915,"$1 under $25,000",32757,,,,,
91915,"$25,000 under $50,000",71487,,,,,
91915,"$50,000 under $75,000",92922,,,,,
91915,"$75,000 under $100,000",123950,,,,,
91915,"$100,000 under $200,000",307012,,,,,
91915,"$200,000 or more",77671,,,,,
91916,"$1 under $25,000",3442,,,,,
91916,"$25,000 under $50,000",8048,,,,,
91916,"$50,000 under $75,000",8053,,,,,
91916,"$75,000 under $100,000",8638,,,,,
91916,"$100,000 under $200,000",27707,,,,,
91916,"$200,000 or more",,,,,,
91917,"$1 under $25,000",2594,,,,,
91917,"$25,000 under $50,000",3465,,,,,
91917,"$50,000 under $75,000",4972,,,,,
91917,"$75,000 under $100,000",,,,,,
91917,"$100,000 under $200,000",4188,,,,,
91917,"$200,000 or more",,,,,,
91932,"$1 under $25,000",68598,,,,,
91932,"$25,000 under $50,000",125126,,,,,
91932,"$50,000 under $75,000",92195,,,,,
91932,"$75,000 under $100,000",58345,,,,,
91932,"$100,000 under $200,000",71891,,,,,
91932,"$200,000 or more",14800,,,,,
91934,"$1 under $25,000",1794,,,,,
91934,"$25,000 under $50,000",2618,,,,,
91934,"$50,000 under $75,000",4172,,,,,
91934,"$75,000 under $100,000",,,,,,
91934,"$100,000 under $200,000",,,,,,
91934,"$200,000 or more",0,,,,,
91935,"$1 under $25,000",15668,,,,,
91935,"$25,000 under $50,000",27360,,,,,
91935,"$50,000 under $75,000",33182,,,,,
91935,"$75,000 under $100,000",35336,,,,,
91935,"$100,000 under $200,000",104169,,,,,
91935,"$200,000 or more",121176,,,,,
91941,"$1 under $25,000",60567,,,,,
91941,"$25,000 under $50,000",129223,,,,,
91941,"$50,000 under $75,000",126684,,,,,
91941,"$75,000 under $100,000",130727,,,,,
91941,"$100,000 under $200,000",307948,,,,,
91941,"$200,000 or more",255276,,,,,
91942,"$1 under $25,000",82963,,,,,
91942,"$25,000 under $50,000",187190,,,,,
91942,"$50,000 under $75,000",188959,,,,,
91942,"$75,000 under $100,000",158768,,,,,
91942,"$100,000 under $200,000",232140,,,,,
91942,"$200,000 or more",54319,,,,,
91945,"$1 under $25,000",60268,,,,,
91945,"$25,000 under $50,000",117571,,,,,
91945,"$50,000 under $75,000",105308,,,,,
91945,"$75,000 under $100,000",77935,,,,,
91945,"$100,000 under $200,000",93881,,,,,
91945,"$200,000 or more",9343,,,,,
91950,"$1 under $25,000",166173,,,,,
91950,"$25,000 under $50,000",253922,,,,,
91950,"$50,000 under $75,000",154179,,,,,
91950,"$75,000 under $100,000",82721,,,,,
91950,"$100,000 under $200,000",69925,,,,,
91950,"$200,000 or more",15019,,,,,
91962,"$1 under $25,000",3171,,,,,
91962,"$25,000 under $50,000",6281,,,,,
91962,"$50,000 under $75,000",9573,,,,,
91962,"$75,000 under $100,000",8895,,,,,
91962,"$100,000 under $200,000",29322,,,,,
91962,"$200,000 or more",,,,,,
91963,"$1 under $25,000",4034,,,,,
91963,"$25,000 under $50,000",5376,,,,,
91963,"$50,000 under $75,000",3212,,,,,
91963,"$75,000 under $100,000",4474,,,,,
91963,"$100,000 under $200,000",,,,,,
91963,"$200,000 or more",,,,,,
91977,"$1 under $25,000",133637,,,,,
91977,"$25,000 under $50,000",254770,,,,,
91977,"$50,000 under $75,000",226802,,,,,
91977,"$75,000 under $100,000",183541,,,,,
91977,"$100,000 under $200,000",255018,,,,,
91977,"$200,000 or more",48990,,,,,
91978,"$1 under $25,000",19189,,,,,
91978,"$25,000 under $50,000",38389,,,,,
91978,"$50,000 under $75,000",38434,,,,,
91978,"$75,000 under $100,000",34546,,,,,
91978,"$100,000 under $200,000",64486,,,,,
91978,"$200,000 or more",13444,,,,,
91980,"$1 under $25,000",8628,,,,,
91980,"$25,000 under $50,000",9815,,,,,
91980,"$50,000 under $75,000",5080,,,,,
91980,"$75,000 under $100,000",,,,,,
91980,"$100,000 under $200,000",,,,,,
91980,"$200,000 or more",,,,,,
92003,"$1 under $25,000",12073,,,,,
92003,"$25,000 under $50,000",21636,,,,,
92003,"$50,000 under $75,000",20936,,,,,
92003,"$75,000 under $100,000",17757,,,,,
92003,"$100,000 under $200,000",45189,,,,,
92003,"$200,000 or more",61655,,,,,
92004,"$1 under $25,000",8841,,,,,
92004,"$25,000 under $50,000",12766,,,,,
92004,"$50,000 under $75,000",10029,,,,,
92004,"$75,000 under $100,000",8416,,,,,
92004,"$100,000 under $200,000",21620,,,,,
92004,"$200,000 or more",,,,,,
92007,"$1 under $25,000",21054,,,,,
92007,"$25,000 under $50,000",44199,,,,,
92007,"$50,000 under $75,000",50179,,,,,
92007,"$75,000 under $100,000",58071,,,,,
92007,"$100,000 under $200,000",137827,,,,,
92007,"$200,000 or more",262445,,,,,
92008,"$1 under $25,000",57007,,,,,
92008,"$25,000 under $50,000",114925,,,,,
92008,"$50,000 under $75,000",116162,,,,,
92008,"$75,000 under $100,000",105166,,,,,
92008,"$100,000 under $200,000",269231,,,,,
92008,"$200,000 or more",332970,,,,,
92009,"$1 under $25,000",52846,,,,,
92009,"$25,000 under $50,000",106331,,,,,
92009,"$50,000 under $75,000",139231,,,,,
92009,"$75,000 under $100,000",164721,,,,,
92009,"$100,000 under $200,000",608480,,,,,
92009,"$200,000 or more",1023530,,,,,
92010,"$1 under $25,000",23670,,,,,
92010,"$25,000 under $50,000",45294,,,,,
92010,"$50,000 under $75,000",58755,,,,,
92010,"$75,000 under $100,000",64669,,,,,
92010,"$100,000 under $200,000",202752,,,,,
92010,"$200,000 or more",100459,,,,,
92011,"$1 under $25,000",30865,,,,,
92011,"$25,000 under $50,000",62767,,,,,
92011,"$50,000 under $75,000",78114,,,,,
92011,"$75,000 under $100,000",88611,,,,,
92011,"$100,000 under $200,000",326704,,,,,
92011,"$200,000 or more",497320,,,,,
92014,"$1 under $25,000",18099,,,,,
92014,"$25,000 under $50,000",39466,,,,,
92014,"$50,000 under $75,000",54533,,,,,
92014,"$75,000 under $100,000",60488,,,,,
92014,"$100,000 under $200,000",201594,,,,,
92014,"$200,000 or more",1000404,,,,,
92019,"$1 under $25,000",80576,,,,,
92019,"$25,000 under $50,000",147420,,,,,
92019,"$50,000 under $75,000",165856,,,,,
92019,"$75,000 under $100,000",167576,,,,,
92019,"$100,000 under $200,000",387727,,,,,
92019,"$200,000 or more",282520,,,,,
92020,"$1 under $25,000",128791,,,,,
92020,"$25,000 under $50,000",207380,,,,,
92020,"$50,000 under $75,000",172405,,,,,
92020,"$75,000 under $100,000",139471,,,,,
92020,"$100,000 under $200,000",285521,,,,,
92020,"$200,000 or more",183933,,,,,
92021,"$1 under $25,000",151200,,,,,
92021,"$25,000 under $50,000",267930,,,,,
92021,"$50,000 under $75,000",228733,,,,,
92021,"$75,000 under $100,000",187874,,,,,
92021,"$100,000 under $200,000",293566,,,,,
92021,"$200,000 or more",116456,,,,,
92024,"$1 under $25,000",90898,,,,,
92024,"$25,000 under $50,000",159471,,,,,
92024,"$50,000 under $75,000",182390,,,,,
92024,"$75,000 under $100,000",187177,,,,,
92024,"$100,000 under $200,000",606965,,,,,
92024,"$200,000 or more",1250605,,,,,
92025,"$1 under $25,000",116122,,,,,
92025,"$25,000 under $50,000",169539,,,,,
92025,"$50,000 under $75,000",122954,,,,,
92025,"$75,000 under $100,000",88887,,,,,
92025,"$100,000 under $200,000",226608,,,,,
92025,"$200,000 or more",232992,,,,,
92026,"$1 under $25,000",106976,,,,,
92026,"$25,000 under $50,000",191969,,,,,
92026,"$50,000 under $75,000",183533,,,,,
92026,"$75,000 under $100,000",169141,,,,,
92026,"$100,000 under $200,000",338573,,,,,
92026,"$200,000 or more",180722,,,,,
92027,"$1 under $25,000",127462,,,,,
92027,"$25,000 under $50,000",214346,,,,,
92027,"$50,000 under $75,000",177432,,,,,
92027,"$75,000 under $100,000",148799,,,,,
92027,"$100,000 under $200,000",277315,,,,,
92027,"$200,000 or more",95879,,,,,
92028,"$1 under $25,000",104962,,,,,
92028,"$25,000 under $50,000",150800,,,,,
92028,"$50,000 under $75,000",147207,,,,,
92028,"$75,000 under $100,000",142701,,,,,
92028,"$100,000 under $200,000",341674,,,,,
92028,"$200,000 or more",292824,,,,,
92029,"$1 under $25,000",33401,,,,,
92029,"$25,000 under $50,000",63824,,,,,
92029,"$50,000 under $75,000",73166,,,,,
92029,"$75,000 under $100,000",74620,,,,,
92029,"$100,000 under $200,000",206772,,,,,
92029,"$200,000 or more",253573,,,,,
92036,"$1 under $25,000",8394,,,,,
92036,"$25,000 under $50,000",12236,,,,,
92036,"$50,000 under $75,000",14516,,,,,
92036,"$75,000 under $100,000",12266,,,,,
92036,"$100,000 under $200,000",22824,,,,,
92036,"$200,000 or more",11256,,,,,
92037,"$1 under $25,000",55616,,,,,
92037,"$25,000 under $50,000",112030,,,,,
92037,"$50,000 under $75,000",132616,,,,,
92037,"$75,000 under $100,000",142393,,,,,
92037,"$100,000 under $200,000",488009,,,,,
92037,"$200,000 or more",2423310,,,,,
92040,"$1 under $25,000",83050,,,,,
92040,"$25,000 under $50,000",171461,,,,,
92040,"$50,000 under $75,000",172016,,,,,
92040,"$75,000 under $100,000",159642,,,,,
92040,"$100,000 under $200,000",316081,,,,,
92040,"$200,000 or more",96163,,,,,
92054,"$1 under $25,000",104323,,,,,
92054,"$25,000 under $50,000",173775,,,,,
92054,"$50,000 under $75,000",135828,,,,,
92054,"$75,000 under $100,000",100534,,,,,
92054,"$100,000 under $200,000",185093,,,,,
92054,"$200,000 or more",93408,,,,,
92056,"$1 under $25,000",115953,,,,,
92056,"$25,000 under $50,000",217753,,,,,
92056,"$50,000 under $75,000",223673,,,,,
92056,"$75,000 under $100,000",207641,,,,,
92056,"$100,000 under $200,000",420110,,,,,
92056,"$200,000 or more",130204,,,,,
92057,"$1 under $25,000",122040,,,,,
92057,"$25,000 under $50,000",218091,,,,,
92057,"$50,000 under $75,000",206537,,,,,
92057,"$75,000 under $100,000",198749,,,,,
92057,"$100,000 under $200,000",395649,,,,,
92057,"$200,000 or more",115626,,,,,
92058,"$1 under $25,000",96267,,,,,
92058,"$25,000 under $50,000",176191,,,,,
92058,"$50,000 under $75,000",107638,,,,,
92058,"$75,000 under $100,000",79436,,,,,
92058,"$100,000 under $200,000",111217,,,,,
92058,"$200,000 or more",19975,,,,,
92059,"$1 under $25,000",2821,,,,,
92059,"$25,000 under $50,000",3886,,,,,
92059,"$50,000 under $75,000",2122,,,,,
92059,"$75,000 under $100,000",2046,,,,,
92059,"$100,000 under $200,000",48898,,,,,
92059,"$200,000 or more",20258,,,,,
92061,"$1 under $25,000",7532,,,,,
92061,"$25,000 under $50,000",13372,,,,,
92061,"$50,000 under $75,000",8415,,,,,
92061,"$75,000 under $100,000",10027,,,,,
92061,"$100,000 under $200,000",17549,,,,,
92061,"$200,000 or more",46836,,,,,
92064,"$1 under $25,000",78309,,,,,
92064,"$25,000 under $50,000",143186,,,,,
92064,"$50,000 under $75,000",163384,,,,,
92064,"$75,000 under $100,000",182519,,,,,
92064,"$100,000 under $200,000",567538,,,,,
92064,"$200,000 or more",915933,,,,,
92065,"$1 under $25,000",65395,,,,,
92065,"$25,000 under $50,000",121512,,,,,
92065,"$50,000 under $75,000",136786,,,,,
92065,"$75,000 under $100,000",150377,,,,,
92065,"$100,000 under $200,000",353094,,,,,
92065,"$200,000 or more",192904,,,,,
92066,"$1 under $25,000",660,,,,,
92066,"$25,000 under $50,000",916,,,,,
92066,"$50,000 under $75,000",5676,,,,,
92066,"$75,000 under $100,000",,,,,,
92066,"$100,000 under $200,000",,,,,,
92066,"$200,000 or more",,,,,,
92069,"$1 under $25,000",102285,,,,,
92069,"$25,000 under $50,000",163983,,,,,
92069,"$50,000 under $75,000",141464,,,,,
92069,"$75,000 under $100,000",131546,,,,,
92069,"$100,000 under $200,000",296899,,,,,
92069,"$200,000 or more",107590,,,,,
92070,"$1 under $25,000",2880,,,,,
92070,"$25,000 under $50,000",5734,,,,,
92070,"$50,000 under $75,000",5127,,,,,
92070,"$75,000 under $100,000",2464,,,,,
92070,"$100,000 under $200,000",6535,,,,,
92070,"$200,000 or more",,,,,,
92071,"$1 under $25,000",97026,,,,,
92071,"$25,000 under $50,000",210996,,,,,
92071,"$50,000 under $75,000",251550,,,,,
92071,"$75,000 under $100,000",257438,,,,,
92071,"$100,000 under $200,000",454792,,,,,
92071,"$200,000 or more",100486,,,,,
92075,"$1 under $25,000",22886,,,,,
92075,"$25,000 under $50,000",45392,,,,,
92075,"$50,000 under $75,000",51606,,,,,
92075,"$75,000 under $100,000",54588,,,,,
92075,"$100,000 under $200,000",157202,,,,,
92075,"$200,000 or more",455750,,,,,
92078,"$1 under $25,000",75002,,,,,
92078,"$25,000 under $50,000",136443,,,,,
92078,"$50,000 under $75,000",145656,,,,,
92078,"$75,000 under $100,000",148140,,,,,
92078,"$100,000 under $200,000",443831,,,,,
92078,"$200,000 or more",308984,,,,,
92081,"$1 under $25,000",56624,,,,,
92081,"$25,000 under $50,000",109062,,,,,
92081,"$50,000 under $75,000",122609,,,,,
92081,"$75,000 under $100,000",107669,,,,,
92081,"$100,000 under $200,000",231158,,,,,
92081,"$200,000 or more",104135,,,,,
92082,"$1 under $25,000",37874,,,,,
92082,"$25,000 under $50,000",63152,,,,,
92082,"$50,000 under $75,000",68972,,,,,
92082,"$75,000 under $100,000",66448,,,,,
92082,"$100,000 under $200,000",180649,,,,,
92082,"$200,000 or more",120942,,,,,
92083,"$1 under $25,000",105269,,,,,
92083,"$25,000 under $50,000",156042,,,,,
92083,"$50,000 under $75,000",99728,,,,,
92083,"$75,000 under $100,000",70803,,,,,
92083,"$100,000 under $200,000",88811,,,,,
92083,"$200,000 or more",14752,,,,,
92084,"$1 under $25,000",115812,,,,,
92084,"$25,000 under $50,000",182030,,,,,
92084,"$50,000 under $75,000",137698,,,,,
92084,"$75,000 under $100,000",118348,,,,,
92084,"$100,000 under $200,000",245564,,,,,
92084,"$200,000 or more",140647,,,,,
92086,"$1 under $25,000",3259,,,,,
92086,"$25,000 under $50,000",5575,,,,,
92086,"$50,000 under $75,000",4424,,,,,
92086,"$75,000 under $100,000",4261,,,,,
92086,"$100,000 under $200,000",8618,,,,,
92086,"$200,000 or more",,,,,,
92091,"$1 under $25,000",1397,,,,,
92091,"$25,000 under $50,000",2193,,,,,
92091,"$50,000 under $75,000",3804,,,,,
92091,"$75,000 under $100,000",2946,,,,,
92091,"$100,000 under $200,000",13055,,,,,
92091,"$200,000 or more",135687,,,,,
92101,"$1 under $25,000",73220,,,,,
92101,"$25,000 under $50,000",158520,,,,,
92101,"$50,000 under $75,000",172214,,,,,
92101,"$75,000 under $100,000",159865,,,,,
92101,"$100,000 under $200,000",329293,,,,,
92101,"$200,000 or more",503496,,,,,
92102,"$1 under $25,000",132307,,,,,
92102,"$25,000 under $50,000",193971,,,,,
92102,"$50,000 under $75,000",111810,,,,,
92102,"$75,000 under $100,000",54133,,,,,
92102,"$100,000 under $200,000",68127,,,,,
92102,"$200,000 or more",29205,,,,,
92103,"$1 under $25,000",72556,,,,,
92103,"$25,000 under $50,000",188829,,,,,
92103,"$50,000 under $75,000",195390,,,,,
92103,"$75,000 under $100,000",153162,,,,,
92103,"$100,000 under $200,000",302860,,,,,
92103,"$200,000 or more",528936,,,,,
92104,"$1 under $25,000",127238,,,,,
92104,"$25,000 under $50,000",269872,,,,,
92104,"$50,000 under $75,000",198947,,,,,
92104,"$75,000 under $100,000",134652,,,,,
92104,"$100,000 under $200,000",218110,,,,,
92104,"$200,000 or more",92766,,,,,
92105,"$1 under $25,000",202558,,,,,
92105,"$25,000 under $50,000",256896,,,,,
92105,"$50,000 under $75,000",143511,,,,,
92105,"$75,000 under $100,000",71565,,,,,
92105,"$100,000 under $200,000",62948,,,,,
92105,"$200,000 or more",12833,,,,,
92106,"$1 under $25,000",31201,,,,,
92106,"$25,000 under $50,000",70316,,,,,
92106,"$50,000 under $75,000",75350,,,,,
92106,"$75,000 under $100,000",67846,,,,,
92106,"$100,000 under $200,000",226496,,,,,
92106,"$200,000 or more",414180,,,,,
92107,"$1 under $25,000",68287,,,,,
92107,"$25,000 under $50,000",146052,,,,,
92107,"$50,000 under $75,000",131803,,,,,
92107,"$75,000 under $100,000",108905,,,,,
92107,"$100,000 under $200,000",222015,,,,,
92107,"$200,000 or more",280339,,,,,
92108,"$1 under $25,000",42881,,,,,
92108,"$25,000 under $50,000",120419,,,,,
92108,"$50,000 under $75,000",125658,,,,,
92108,"$75,000 under $100,000",98352,,,,,
92108,"$100,000 under $200,000",149925,,,,,
92108,"$200,000 or more",87528,,,,,
92109,"$1 under $25,000",112601,,,,,
92109,"$25,000 under $50,000",266228,,,,,
92109,"$50,000 under $75,000",254675,,,,,
92109,"$75,000 under $100,000",180329,,,,,
92109,"$100,000 under $200,000",317856,,,,,
92109,"$200,000 or more",340193,,,,,
92110,"$1 under $25,000",54042,,,,,
92110,"$25,000 under $50,000",118762,,,,,
92110,"$50,000 under $75,000",111544,,,,,
92110,"$75,000 under $100,000",92364,,,,,
92110,"$100,000 under $200,000",184758,,,,,
92110,"$200,000 or more",132194,,,,,
92111,"$1 under $25,000",108809,,,,,
92111,"$25,000 under $50,000",203927,,,,,
92111,"$50,000 under $75,000",188319,,,,,
92111,"$75,000 under $100,000",152188,,,,,
92111,"$100,000 under $200,000",259866,,,,,
92111,"$200,000 or more",97610,,,,,
92113,"$1 under $25,000",155838,,,,,
92113,"$25,000 under $50,000",182368,,,,,
92113,"$50,000 under $75,000",75354,,,,,
92113,"$75,000 under $100,000",25980,,,,,
92113,"$100,000 under $200,000",31631,,,,,
92113,"$200,000 or more",,,,,,
92114,"$1 under $25,000",163791,,,,,
92114,"$25,000 under $50,000",292118,,,,,
92114,"$50,000 under $75,000",237814,,,,,
92114,"$75,000 under $100,000",176820,,,,,
92114,"$100,000 under $200,000",201742,,,,,
92114,"$200,000 or more",16808,,,,,
92115,"$1 under $25,000",139765,,,,,
92115,"$25,000 under $50,000",226142,,,,,
92115,"$50,000 under $75,000",176024,,,,,
92115,"$75,000 under $100,000",138175,,,,,
92115,"$100,000 under $200,000",221550,,,,,
92115,"$200,000 or more",134137,,,,,
92116,"$1 under $25,000",84432,,,,,
92116,"$25,000 under $50,000",206252,,,,,
92116,"$50,000 under $75,000",170752,,,,,
92116,"$75,000 under $100,000",117219,,,,,
92116,"$100,000 under $200,000",202781,,,,,
92116,"$200,000 or more",132545,,,,,
92117,"$1 under $25,000",118271,,,,,
92117,"$25,000 under $50,000",238630,,,,,
92117,"$50,000 under $75,000",239640,,,,,
92117,"$75,000 under $100,000",219016,,,,,
92117,"$100,000 under $200,000",403329,,,,,
92117,"$200,000 or more",197830,,,,,
92118,"$1 under $25,000",24191,,,,,
92118,"$25,000 under $50,000",57081,,,,,
92118,"$50,000 under $75,000",66098,,,,,
92118,"$75,000 under $100,000",75967,,,,,
92118,"$100,000 under $200,000",207732,,,,,
92118,"$200,000 or more",384177,,,,,
92119,"$1 under $25,000",41150,,,,,
92119,"$25,000 under $50,000",94631,,,,,
92119,"$50,000 under $75,000",118274,,,,,
92119,"$75,000 under $100,000",121010,,,,,
92119,"$100,000 under $200,000",258172,,,,,
92119,"$200,000 or more",89215,,,,,
92120,"$1 under $25,000",48492,,,,,
92120,"$25,000 under $50,000",109093,,,,,
92120,"$50,000 under $75,000",128711,,,,,
92120,"$75,000 under $100,000",133161,,,,,
92120,"$100,000 under $200,000",315222,,,,,
92120,"$200,000 or more",221382,,,,,
92121,"$1 under $25,000",6762,,,,,
92121,"$25,000 under $50,000",14668,,,,,
92121,"$50,000 under $75,000",17485,,,,,
92121,"$75,000 under $100,000",22371,,,,,
92121,"$100,000 under $200,000",73147,,,,,
92121,"$200,000 or more",162083,,,,,
92122,"$1 under $25,000",62231,,,,,
92122,"$25,000 under $50,000",147076,,,,,
92122,"$50,000 under $75,000",179235,,,,,
92122,"$75,000 under $100,000",201996,,,,,
92122,"$100,000 under $200,000",442851,,,,,
92122,"$200,000 or more",389666,,,,,
92123,"$1 under $25,000",54983,,,,,
92123,"$25,000 under $50,000",135273,,,,,
92123,"$50,000 under $75,000",132972,,,,,
92123,"$75,000 under $100,000",118174,,,,,
92123,"$100,000 under $200,000",209346,,,,,
92123,"$200,000 or more",140551,,,,,
92124,"$1 under $25,000",42378,,,,,
92124,"$25,000 under $50,000",122880,,,,,
92124,"$50,000 under $75,000",128320,,,,,
92124,"$75,000 under $100,000",124224,,,,,
92124,"$100,000 under $200,000",294218,,,,,
92124,"$200,000 or more",172522,,,,,
92126,"$1 under $25,000",135712,,,,,
92126,"$25,000 under $50,000",302021,,,,,
92126,"$50,000 under $75,000",337581,,,,,
92126,"$75,000 under $100,000",329191,,,,,
92126,"$100,000 under $200,000",587866,,,,,
92126,"$200,000 or more",140441,,,,,
92127,"$1 under $25,000",39175,,,,,
92127,"$25,000 under $50,000",83977,,,,,
92127,"$50,000 under $75,000",115075,,,,,
92127,"$75,000 under $100,000",153327,,,,,
92127,"$100,000 under $200,000",610815,,,,,
92127,"$200,000 or more",885569,,,,,
92128,"$1 under $25,000",62973,,,,,
92128,"$25,000 under $50,000",152003,,,,,
92128,"$50,000 under $75,000",226224,,,,,
92128,"$75,000 under $100,000",248682,,,,,
92128,"$100,000 under $200,000",703968,,,,,
92128,"$200,000 or more",442671,,,,,
92129,"$1 under $25,000",71772,,,,,
92129,"$25,000 under $50,000",139991,,,,,
92129,"$50,000 under $75,000",173891,,,,,
92129,"$75,000 under $100,000",209821,,,,,
92129,"$100,000 under $200,000",807736,,,,,
92129,"$200,000 or more",507521,,,,,
92130,"$1 under $25,000",43501,,,,,
92130,"$25,000 under $50,000",94542,,,,,
92130,"$50,000 under $75,000",127342,,,,,
92130,"$75,000 under $100,000",160735,,,,,
92130,"$100,000 under $200,000",736509,,,,,
92130,"$200,000 or more",2133135,,,,,
92131,"$1 under $25,000",33935,,,,,
92131,"$25,000 under $50,000",74265,,,,,
92131,"$50,000 under $75,000",112015,,,,,
92131,"$75,000 under $100,000",151684,,,,,
92131,"$100,000 under $200,000",634256,,,,,
92131,"$200,000 or more",785531,,,,,
92139,"$1 under $25,000",80478,,,,,
92139,"$25,000 under $50,000",175815,,,,,
92139,"$50,000 under $75,000",151566,,,,,
