Zip Code,Size AGI,Adjusted Gross Income,,,,,
90025,"$200,000 or more",1943461,,,,,
90026,"$1 under $25,000",195318,,,,,
90026,"$25,000 under $50,000",294716,,,,,
90026,"$50,000 under $75,000",209273,,,,,
90026,"$75,000 under $100,000",127814,,,,,
90026,"$100,000 under $200,000",210419,,,,,
90026,"$200,000 or more",130746,,,,,
90027,"$1 under $25,000",123376,,,,,
90027,"$25,000 under $50,000",222423,,,,,
90027,"$50,000 under $75,000",191511,,,,,
90027,"$75,000 under $100,000",135454,,,,,
90027,"$100,000 under $200,000",246769,,,,,
90027,"$200,000 or more",483320,,,,,
90028,"$1 under $25,000",96035,,,,,
90028,"$25,000 under $50,000",139117,,,,,
90028,"$50,000 under $75,000",83202,,,,,
90028,"$75,000 under $100,000",48671,,,,,
90028,"$100,000 under $200,000",66018,,,,,
90028,"$200,000 or more",70284,,,,,
90029,"$1 under $25,000",131328,,,,,
90029,"$25,000 under $50,000",158661,,,,,
90029,"$50,000 under $75,000",81543,,,,,
90029,"$75,000 under $100,000",42773,,,,,
90029,"$100,000 under $200,000",52764,,,,,
90029,"$200,000 or more",31041,,,,,
90031,"$1 under $25,000",118505,,,,,
90031,"$25,000 under $50,000",148705,,,,,
90031,"$50,000 under $75,000",90081,,,,,
90031,"$75,000 under $100,000",40654,,,,,
90031,"$100,000 under $200,000",52666,,,,,
90031,"$200,000 or more",19676,,,,,
90032,"$1 under $25,000",123433,,,,,
90032,"$25,000 under $50,000",187022,,,,,
90032,"$50,000 under $75,000",138466,,,,,
90032,"$75,000 under $100,000",81573,,,,,
90032,"$100,000 under $200,000",90762,,,,,
90032,"$200,000 or more",19698,,,,,
90033,"$1 under $25,000",143498,,,,,
90033,"$25,000 under $50,000",147866,,,,,
90033,"$50,000 under $75,000",63500,,,,,
90033,"$75,000 under $100,000",27232,,,,,
90033,"$100,000 under $200,000",41928,,,,,
90033,"$200,000 or more",,,,,,
90034,"$1 under $25,000",144864,,,,,
90034,"$25,000 under $50,000",306056,,,,,
90034,"$50,000 under $75,000",268815,,,,,
90034,"$75,000 under $100,000",180533,,,,,
90034,"$100,000 under $200,000",308188,,,,,
90034,"$200,000 or more",365256,,,,,
90035,"$1 under $25,000",55024,,,,,
90035,"$25,000 under $50,000",116230,,,,,
90035,"$50,000 under $75,000",122977,,,,,
90035,"$75,000 under $100,000",105848,,,,,
90035,"$100,000 under $200,000",249064,,,,,
90035,"$200,000 or more",449617,,,,,
90036,"$1 under $25,000",72082,,,,,
90036,"$25,000 under $50,000",170485,,,,,
90036,"$50,000 under $75,000",185219,,,,,
90036,"$75,000 under $100,000",160041,,,,,
90036,"$100,000 under $200,000",344641,,,,,
90036,"$200,000 or more",737317,,,,,
90037,"$1 under $25,000",205561,,,,,
90037,"$25,000 under $50,000",204073,,,,,
90037,"$50,000 under $75,000",79056,,,,,
90037,"$75,000 under $100,000",27750,,,,,
90037,"$100,000 under $200,000",20659,,,,,
90037,"$200,000 or more",,,,,,
90038,"$1 under $25,000",95458,,,,,
90038,"$25,000 under $50,000",124601,,,,,
90038,"$50,000 under $75,000",63380,,,,,
90038,"$75,000 under $100,000",35489,,,,,
90038,"$100,000 under $200,000",47716,,,,,
90038,"$200,000 or more",43433,,,,,
90039,"$1 under $25,000",72755,,,,,
90039,"$25,000 under $50,000",138801,,,,,
90039,"$50,000 under $75,000",130174,,,,,
90039,"$75,000 under $100,000",110954,,,,,
90039,"$100,000 under $200,000",213387,,,,,
90039,"$200,000 or more",199686,,,,,
90040,"$1 under $25,000",35272,,,,,
90040,"$25,000 under $50,000",57733,,,,,
90040,"$50,000 under $75,000",35657,,,,,
90040,"$75,000 under $100,000",20082,,,,,
90040,"$100,000 under $200,000",16481,,,,,
90040,"$200,000 or more",18174,,,,,
90041,"$1 under $25,000",56090,,,,,
90041,"$25,000 under $50,000",120295,,,,,
90041,"$50,000 under $75,000",114170,,,,,
90041,"$75,000 under $100,000",98312,,,,,
90041,"$100,000 under $200,000",206216,,,,,
90041,"$200,000 or more",93745,,,,,
90042,"$1 under $25,000",160977,,,,,
90042,"$25,000 under $50,000",255789,,,,,
90042,"$50,000 under $75,000",196589,,,,,
90042,"$75,000 under $100,000",142080,,,,,
90042,"$100,000 under $200,000",203299,,,,,
90042,"$200,000 or more",55556,,,,,
90043,"$1 under $25,000",126093,,,,,
90043,"$25,000 under $50,000",204675,,,,,
90043,"$50,000 under $75,000",161473,,,,,
90043,"$75,000 under $100,000",107714,,,,,
90043,"$100,000 under $200,000",170521,,,,,
90043,"$200,000 or more",68202,,,,,
90044,"$1 under $25,000",293126,,,,,
90044,"$25,000 under $50,000",321512,,,,,
90044,"$50,000 under $75,000",145993,,,,,
90044,"$75,000 under $100,000",59199,,,,,
90044,"$100,000 under $200,000",42234,,,,,
90044,"$200,000 or more",8012,,,,,
90045,"$1 under $25,000",61224,,,,,
90045,"$25,000 under $50,000",133158,,,,,
90045,"$50,000 under $75,000",169680,,,,,
90045,"$75,000 under $100,000",161710,,,,,
90045,"$100,000 under $200,000",459184,,,,,
90045,"$200,000 or more",517770,,,,,
90046,"$1 under $25,000",119825,,,,,
90046,"$25,000 under $50,000",255374,,,,,
90046,"$50,000 under $75,000",247736,,,,,
90046,"$75,000 under $100,000",188963,,,,,
90046,"$100,000 under $200,000",373933,,,,,
90046,"$200,000 or more",828195,,,,,
90047,"$1 under $25,000",151159,,,,,
90047,"$25,000 under $50,000",241221,,,,,
90047,"$50,000 under $75,000",181662,,,,,
90047,"$75,000 under $100,000",96543,,,,,
90047,"$100,000 under $200,000",93932,,,,,
90047,"$200,000 or more",13669,,,,,
90048,"$1 under $25,000",48980,,,,,
90048,"$25,000 under $50,000",108272,,,,,
90048,"$50,000 under $75,000",118532,,,,,
90048,"$75,000 under $100,000",105087,,,,,
90048,"$100,000 under $200,000",255070,,,,,
90048,"$200,000 or more",560362,,,,,
90049,"$1 under $25,000",49439,,,,,
90049,"$25,000 under $50,000",110637,,,,,
90049,"$50,000 under $75,000",138606,,,,,
90049,"$75,000 under $100,000",139915,,,,,
90049,"$100,000 under $200,000",435846,,,,,
90049,"$200,000 or more",4307545,,,,,
90056,"$1 under $25,000",16612,,,,,
90056,"$25,000 under $50,000",34860,,,,,
90056,"$50,000 under $75,000",45668,,,,,
90056,"$75,000 under $100,000",40593,,,,,
90056,"$100,000 under $200,000",109674,,,,,
90056,"$200,000 or more",128513,,,,,
90057,"$1 under $25,000",118068,,,,,
90057,"$25,000 under $50,000",117932,,,,,
90057,"$50,000 under $75,000",50218,,,,,
90057,"$75,000 under $100,000",25021,,,,,
90057,"$100,000 under $200,000",22886,,,,,
90057,"$200,000 or more",7338,,,,,
90058,"$1 under $25,000",12210,,,,,
90058,"$25,000 under $50,000",9858,,,,,
90058,"$50,000 under $75,000",4121,,,,,
90058,"$75,000 under $100,000",3307,,,,,
90058,"$100,000 under $200,000",4223,,,,,
90058,"$200,000 or more",37409,,,,,
90059,"$1 under $25,000",132265,,,,,
90059,"$25,000 under $50,000",142435,,,,,
90059,"$50,000 under $75,000",66386,,,,,
90059,"$75,000 under $100,000",24681,,,,,
90059,"$100,000 under $200,000",16288,,,,,
90059,"$200,000 or more",,,,,,
90061,"$1 under $25,000",93730,,,,,
90061,"$25,000 under $50,000",102924,,,,,
90061,"$50,000 under $75,000",49288,,,,,
90061,"$75,000 under $100,000",21431,,,,,
90061,"$100,000 under $200,000",21874,,,,,
90061,"$200,000 or more",,,,,,
90062,"$1 under $25,000",103712,,,,,
90062,"$25,000 under $50,000",137515,,,,,
90062,"$50,000 under $75,000",71518,,,,,
90062,"$75,000 under $100,000",30166,,,,,
90062,"$100,000 under $200,000",20244,,,,,
90062,"$200,000 or more",,,,,,
90063,"$1 under $25,000",164503,,,,,
90063,"$25,000 under $50,000",203443,,,,,
90063,"$50,000 under $75,000",102754,,,,,
90063,"$75,000 under $100,000",42346,,,,,
90063,"$100,000 under $200,000",31128,,,,,
90063,"$200,000 or more",,,,,,
90064,"$1 under $25,000",46143,,,,,
90064,"$25,000 under $50,000",94572,,,,,
90064,"$50,000 under $75,000",112280,,,,,
90064,"$75,000 under $100,000",101754,,,,,
90064,"$100,000 under $200,000",325475,,,,,
90064,"$200,000 or more",1436767,,,,,
90065,"$1 under $25,000",119955,,,,,
90065,"$25,000 under $50,000",189825,,,,,
90065,"$50,000 under $75,000",153229,,,,,
90065,"$75,000 under $100,000",117677,,,,,
90065,"$100,000 under $200,000",241038,,,,,
90065,"$200,000 or more",125866,,,,,
90066,"$1 under $25,000",124887,,,,,
90066,"$25,000 under $50,000",244148,,,,,
90066,"$50,000 under $75,000",238949,,,,,
90066,"$75,000 under $100,000",208715,,,,,
90066,"$100,000 under $200,000",474291,,,,,
90066,"$200,000 or more",566854,,,,,
90067,"$1 under $25,000",6388,,,,,
90067,"$25,000 under $50,000",13604,,,,,
90067,"$50,000 under $75,000",15217,,,,,
90067,"$75,000 under $100,000",18006,,,,,
90067,"$100,000 under $200,000",80081,,,,,
90067,"$200,000 or more",2313472,,,,,
90068,"$1 under $25,000",44547,,,,,
90068,"$25,000 under $50,000",97960,,,,,
90068,"$50,000 under $75,000",101675,,,,,
90068,"$75,000 under $100,000",99091,,,,,
90068,"$100,000 under $200,000",249216,,,,,
