Geography,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area)
93609,"5,640",61.5,92
93610,"23,833",272.2,88
93611,"45,614",11.2,"4,075"
93612,"35,351",6.6,"5,344"
93614,"11,661",114.9,102
93615,"6,042",16.7,361
93616,"2,627",13.9,189
93618,"28,262",66.7,424
93619,"28,965",178.4,162
93620,"9,591",174.7,55
93621,464,66.0,7
93622,"9,581",354.5,27
93623,69,30.8,2
93624,"1,134",112.1,10
93625,"7,313",24.7,296
93626,"1,359",99.6,14
93627,123,35.7,3
93628,327,35.9,9
93630,"19,162",155.7,123
93631,"15,941",80.2,199
93633,25,21.0,1
93634,33,"1,184.7",0
93635,"38,776",259.2,150
93636,"11,908",195.6,61
93637,"37,743",270.5,140
93638,"49,068",94.8,517
93640,"11,880",113.1,105
93641,595,31.9,19
93643,"3,171",124.5,25
93644,"8,637",92.8,93
93645,318,53.5,6
93646,"10,557",42.6,248
93647,"11,874",106.9,111
93648,"15,719",22.9,685
93650,"4,055",0.7,"5,725"
93651,"1,674",28.7,58
93652,415,2.1,201
93653,"1,229",237.4,5
93654,"29,776",98.6,302
93656,"6,313",109.9,57
93657,"34,999",213.1,164
93660,"4,675",81.2,58
93662,"30,237",78.8,384
93664,585,191.7,3
93665,472,0.8,561
93666,692,0.4,"1,850"
93667,"2,604",111.3,23
93668,"1,118",33.7,33
93669,295,6.8,43
93673,713,0.8,857
93675,"3,721",78.8,47
93701,"12,529",1.5,"8,274"
93702,"48,607",5.3,"9,234"
93703,"31,868",4.7,"6,741"
93704,"27,156",5.5,"4,955"
93705,"36,703",4.9,"7,528"
93706,"41,087",163.5,251
93710,"30,202",7.0,"4,308"
93711,"36,731",11.3,"3,248"
93720,"45,191",10.0,"4,538"
93721,"6,959",2.1,"3,395"
93722,"76,448",19.6,"3,903"
93723,"9,547",42.7,224
93725,"24,979",65.4,382
93726,"40,705",6.4,"6,344"
93727,"71,820",32.5,"2,209"
93728,"15,743",3.1,"5,145"
93730,"9,941",7.6,"1,312"
93901,"26,863",14.6,"1,839"
93905,"61,087",9.3,"6,564"
93906,"59,461",13.1,"4,548"
93907,"21,726",54.0,403
93908,"13,043",214.6,61
93920,"1,369",368.9,4
93921,"3,281",0.9,"3,649"
93923,"12,073",129.0,94
93924,"6,279",189.9,33
93925,"1,671",54.5,31
93926,"8,726",59.2,147
93927,"17,547",263.9,66
93928,506,19.1,26
93930,"15,866",360.1,44
93932,592,100.7,6
93933,"22,406",12.9,"1,743"
93940,"31,615",20.5,"1,539"
93943,6,0.2,35
93950,"15,046",2.9,"5,251"
93953,"4,509",8.0,561
93954,302,36.7,8
93955,"33,359",28.2,"1,181"
93960,"27,080",204.0,133
93962,673,0.1,"5,509"
94002,"25,992",5.7,"4,589"
94005,"4,282",4.4,974
94010,"40,737",11.8,"3,442"
94014,"47,014",6.3,"7,454"
94015,"60,927",5.8,"10,576"
94019,"18,424",52.6,350
94020,"1,559",55.8,28
94021,192,4.5,42
94022,"18,500",17.5,"1,058"
94024,"22,385",7.3,"3,066"
94025,"40,526",11.8,"3,448"
94027,"7,089",5.2,"1,364"
94028,"6,534",15.2,429
94030,"21,536",3.4,"6,359"
94037,"2,913",5.8,503
94038,"3,040",1.6,"1,929"
94040,"32,996",3.7,"8,945"
94041,"13,292",1.5,"8,689"
94043,"28,358",10.7,"2,657"
94044,"37,296",14.7,"2,543"
94060,"1,554",73.0,21
94061,"36,245",3.9,"9,391"
94062,"25,876",70.9,365
94063,"30,949",6.8,"4,539"
94065,"11,359",2.4,"4,660"
94066,"41,130",6.1,"6,706"
94070,"29,166",6.1,"4,749"
94074,214,18.5,12
94080,"63,975",10.3,"6,224"
94085,"21,247",3.5,"6,088"
94086,"45,697",4.5,"10,187"
94087,"54,293",6.6,"8,248"
94089,"19,245",6.0,"3,212"
94102,"31,176",0.7,"46,472"
94103,"27,170",1.4,"20,036"
94104,406,0.1,"5,232"
94105,"5,846",0.4,"15,826"
94107,"26,599",1.8,"14,845"
94108,"13,768",0.3,"50,983"
94109,"55,984",1.2,"47,129"
94110,"69,333",2.3,"29,816"
94111,"3,713",0.3,"10,791"
94112,"79,407",3.4,"23,606"
94114,"31,124",1.4,"21,837"
94115,"33,021",1.1,"29,596"
94116,"43,698",2.6,"16,901"
94117,"39,169",1.7,"23,211"
94118,"38,319",1.9,"19,663"
94121,"41,203",3.1,"13,370"
94122,"56,023",2.4,"23,699"
94123,"23,088",1.0,"22,622"
94124,"33,996",4.9,"6,901"
94127,"19,289",1.8,"10,895"
94128,69,3.5,20
94129,"3,183",2.3,"1,381"
94130,"2,880",0.9,"3,196"
94131,"26,881",2.1,"12,926"
94132,"28,129",3.1,"9,045"
94133,"26,237",0.8,"34,749"
94134,"40,798",2.4,"17,001"
94158,"4,792",0.7,"7,288"
94301,"16,995",2.4,"7,161"
94303,"45,467",8.0,"5,710"
94304,"3,627",6.5,558
94305,"13,862",5.1,"2,703"
94306,"26,469",4.2,"6,322"
94401,"34,429",3.1,"10,943"
94402,"23,981",4.9,"4,934"
94403,"39,642",5.6,"7,040"
94404,"33,749",4.3,"7,923"
94501,"60,212",7.9,"7,593"
94502,"13,600",2.7,"5,074"
94503,"19,681",13.0,"1,519"
94505,"13,403",16.3,824
94506,"22,452",18.8,"1,195"
94507,"14,889",12.7,"1,173"
94508,"3,661",17.4,210
94509,"62,439",16.4,"3,800"
94510,"27,088",27.9,969
94511,"2,137",5.6,384
94512,108,20.2,5
94513,"54,605",75.7,722
94514,"1,360",28.7,47
94515,"7,050",105.7,67
94516,211,0.9,241
94517,"12,385",57.2,216
94518,"26,778",5.4,"4,925"
94519,"18,453",4.4,"4,221"
94520,"37,208",10.1,"3,688"
94521,"41,249",13.0,"3,182"
94523,"33,569",7.2,"4,640"
94525,"3,127",2.4,"1,329"
94526,"31,102",14.9,"2,083"
94528,964,2.3,411
94530,"23,877",4.8,"4,945"
94531,"40,290",11.0,"3,678"
94533,"69,277",21.6,"3,207"
94534,"36,416",79.2,460
94535,"3,793",3.8,995
94536,"68,790",14.6,"4,717"
94538,"61,148",16.5,"3,715"
94539,"50,031",25.4,"1,968"
94541,"61,635",7.4,"8,296"
94542,"12,717",5.7,"2,229"
94544,"73,026",11.0,"6,665"
94545,"29,707",21.5,"1,379"
94546,"42,209",9.4,"4,479"
94547,"24,092",5.4,"4,427"
94548,412,2.8,149
94549,"26,864",19.2,"1,399"
94550,"46,896",232.7,202
94551,"36,867",78.9,467
94552,"14,454",44.9,322
94553,"47,065",48.9,962
94555,"34,143",11.6,"2,941"
94556,"15,229",12.2,"1,243"
94558,"66,830",355.8,188
94559,"27,184",36.6,742
94560,"42,573",13.8,"3,084"
94561,"36,515",16.9,"2,157"
94563,"17,672",17.3,"1,024"
94564,"18,287",5.6,"3,271"
94565,"84,641",30.2,"2,803"
94566,"40,884",19.6,"2,085"
94567,623,131.4,5
94568,"46,016",15.3,"3,011"
94569,198,2.4,84
94571,"7,911",117.6,67
94572,"8,684",4.3,"2,000"
94573,94,1.0,94
94574,"8,742",127.8,68
94575,974,0.2,"5,815"
94576,164,0.4,444
94577,"45,560",8.1,"5,591"
94578,"38,558",4.4,"8,755"
94579,"20,571",3.1,"6,567"
94580,"27,152",3.4,"7,875"
94582,"38,537",13.0,"2,965"
94583,"34,859",15.0,"2,331"
94585,"28,263",112.4,251
94586,925,58.6,16
94587,"69,516",19.7,"3,525"
94588,"30,842",32.6,945
94589,"29,876",11.5,"2,607"
94590,"35,420",5.9,"5,959"
94591,"53,042",21.6,"2,458"
94592,742,4.2,175
94595,"16,425",5.4,"3,054"
94596,"20,037",6.0,"3,359"
94597,"20,277",3.9,"5,180"
94598,"25,818",15.2,"1,693"
94599,"3,021",2.9,"1,030"
94601,"50,294",3.2,"15,487"
94602,"28,329",3.3,"8,574"
94603,"31,403",3.3,"9,630"
94605,"39,016",9.0,"4,356"
94606,"36,672",2.3,"16,037"
94607,"24,978",5.9,"4,235"
94608,"28,019",2.7,"10,235"
94609,"20,596",1.7,"12,057"
94610,"29,287",2.2,"13,410"
94611,"36,565",10.6,"3,462"
94612,"14,389",0.9,"16,899"
94613,715,0.3,"2,820"
94618,"16,046",2.4,"6,616"
94619,"23,299",15.6,"1,489"
94621,"29,870",7.8,"3,840"
94702,"15,979",1.3,"12,543"
94703,"19,846",1.3,"14,852"
94704,"25,592",1.1,"23,930"
94705,"12,762",3.3,"3,862"
94706,"19,615",1.5,"13,287"
94707,"11,710",1.7,"6,907"
94708,"10,985",3.4,"3,239"
94709,"11,806",0.6,"20,084"
94710,"6,948",2.1,"3,233"
94720,"2,964",0.6,"4,761"
94801,"29,395",11.3,"2,606"
94803,"24,904",11.7,"2,134"
94804,"38,559",6.2,"6,241"
94805,"13,648",2.0,"6,873"
94806,"59,861",8.3,"7,183"
94850,0,0.0,0
94901,"41,157",13.2,"3,127"
94903,"29,040",20.1,"1,448"
94904,"11,995",7.2,"1,656"
94920,"12,474",6.5,"1,910"
94922,425,12.3,34
94923,"1,411",21.4,66
94924,"1,638",23.1,71
94925,"9,253",3.2,"2,925"
94928,"43,170",7.7,"5,604"
94929,264,1.1,249
94930,"8,500",15.9,534
94931,"8,470",6.4,"1,333"
94933,865,1.1,790
94937,837,41.6,20
94938,812,10.6,77
94939,"6,859",2.1,"3,208"
94940,268,22.8,12
94941,"30,496",22.2,"1,372"
94945,"17,167",26.0,660
94946,699,43.7,16
94947,"24,283",22.7,"1,070"
94949,"17,202",15.0,"1,145"
94950,89,8.6,10
94951,"4,124",14.7,281
94952,"32,858",180.2,182
94954,"37,365",62.0,603
94956,"1,756",58.4,30
94957,"1,332",1.1,"1,164"
94960,"15,740",5.9,"2,653"
94963,569,2.7,214
94964,"5,094",0.4,"13,067"
94965,"10,847",13.5,802
94970,683,7.0,98
94971,337,12.4,27
94972,52,11.6,4
94973,"1,429",4.0,359
95002,"2,077",12.0,173
95003,"23,974",35.1,682
95004,"3,918",18.2,216
95005,"6,311",11.9,528
95006,"8,979",53.5,168
95007,676,0.6,"1,181"
95008,"45,260",6.4,"7,086"
95010,"9,137",1.4,"6,658"
95012,"10,320",14.9,691
95013,80,1.5,52
95014,"60,717",26.9,"2,255"
95017,834,50.0,17
95018,"7,778",18.8,414
95019,"7,727",1.2,"6,364"
95020,"57,349",155.9,368
95023,"48,841",412.4,118
95030,"12,791",10.4,"1,225"
95032,"25,089",15.9,"1,579"
95033,"9,372",91.7,102
95035,"66,943",23.2,"2,880"
95037,"45,579",243.3,187
95039,"1,377",14.7,93
95041,160,0.0,"3,951"
95043,639,858.6,1
95045,"4,046",47.4,85
95046,"6,417",19.5,329
95050,"35,923",5.3,"6,808"
95051,"54,327",6.7,"8,159"
95053,"2,206",0.2,"12,925"
95054,"23,364",6.3,"3,730"
95060,"46,377",67.8,684
95062,"36,079",5.0,"7,148"
95064,"7,331",1.9,"3,908"
95065,"8,113",11.2,725
95066,"14,749",19.0,778
95070,"30,617",25.5,"1,201"
95073,"10,154",21.2,479
95075,331,93.0,4
95076,"82,474",136.6,604
95110,"18,730",4.7,"4,014"
95111,"58,466",5.4,"10,840"
95112,"55,927",7.1,"7,885"
95113,893,0.3,"2,618"
95116,"51,496",3.6,"14,382"
95117,"30,067",2.6,"11,693"
95118,"31,932",4.1,"7,703"
95119,"9,970",2.8,"3,524"
95120,"37,457",39.8,942
95121,"37,469",4.4,"8,454"
95122,"56,545",4.8,"11,857"
95123,"62,228",8.3,"7,481"
95124,"47,082",6.6,"7,167"
95125,"51,939",8.0,"6,488"
95126,"31,049",3.3,"9,459"
95127,"61,325",13.0,"4,713"
95128,"34,836",3.9,"8,923"
95129,"38,720",4.5,"8,581"
95130,"13,911",1.6,"8,930"
95131,"28,565",5.8,"4,913"
95132,"40,299",51.0,791
95133,"25,401",3.2,"7,982"
95134,"15,268",9.5,"1,610"
95135,"20,120",30.6,658
95136,"42,989",4.7,"9,082"
95138,"18,889",26.1,725
95139,"6,748",1.2,"5,482"
95140,191,123.7,2
95148,"45,528",9.4,"4,831"
95202,"6,521",1.1,"6,049"
95203,"15,696",6.2,"2,544"
95204,"27,786",5.1,"5,448"
95205,"38,069",9.1,"4,188"
95206,"65,004",144.9,449
95207,"47,965",7.3,"6,610"
95209,"39,488",8.4,"4,711"
95210,"39,009",6.6,"5,892"
95211,"1,545",0.2,"10,208"
95212,"25,239",21.6,"1,170"
95215,"23,224",94.7,245
95219,"27,884",56.9,490
95220,"7,273",57.6,126
95222,"5,292",151.1,35
95223,"4,612",287.4,16
95224,429,11.4,38
95225,672,7.0,96
95226,84,5.6,15
95227,941,37.1,25
95228,"3,976",106.8,37
95230,718,113.6,6
95231,"4,374",10.6,413
95232,304,7.9,38
95233,436,7.0,62
95234,70,33.6,2
95236,"4,223",108.1,39
95237,"3,167",8.0,397
95240,"47,172",82.7,570
95242,"25,393",96.0,264
95245,"2,277",68.4,33
95246,"1,615",52.2,31
95247,"4,368",41.7,105
95248,301,31.8,9
95249,"4,042",83.8,48
95250,78,10.6,7
95251,767,11.0,70
95252,"13,460",122.5,110
95254,480,5.5,87
95255,"2,042",44.6,46
95257,413,15.2,27
95258,"4,018",3.2,"1,247"
95301,"37,073",62.3,595
95303,912,39.0,23
95304,"15,706",159.4,99
95305,245,14.3,17
95306,970,136.8,7
95307,"42,753",33.5,"1,276"
95310,"1,882",39.5,48
95311,"2,197",239.6,9
95312,268,1.0,273
95313,"1,386",51.7,27
95314,0,25.1,0
95315,"13,018",18.2,713
95316,"6,573",66.8,98
95317,817,53.0,15
95318,541,39.6,14
95319,"1,749",0.6,"2,820"
95320,"12,819",88.6,145
95321,"3,736",175.2,21
95322,"8,942",174.2,51
95323,"1,260",30.8,41
95324,"7,324",41.2,178
95325,81,40.7,2
95326,"9,581",28.9,331
95327,"9,806",157.1,62
95328,"3,993",1.0,"3,834"
95329,"2,460",109.3,23
95330,"17,853",21.5,830
95333,"2,942",116.7,25
95334,"15,457",56.0,276
95335,541,42.1,13
95336,"42,675",38.3,"1,114"
95337,"31,557",45.5,693
95338,"11,062",340.3,33
95340,"33,931",39.8,854
95341,"32,967",149.6,220
95345,708,32.0,22
95346,"1,272",6.0,212
95348,"30,805",47.5,648
95350,"51,046",8.9,"5,749"
95351,"46,458",8.9,"5,238"
95354,"25,394",7.3,"3,459"
95355,"58,311",9.5,"6,145"
95356,"30,918",21.4,"1,446"
95357,"11,559",38.5,300
95358,"31,668",120.3,263
95360,"11,712",334.7,35
95361,"31,610",231.7,136
95363,"25,237",118.0,214
95364,53,272.0,0
95365,"4,985",15.2,329
95366,"16,575",34.4,482
95367,"23,173",4.6,"5,055"
95368,"13,614",3.3,"4,140"
95369,"1,099",159.3,7
95370,"26,803",103.2,260
95372,"1,963",2.7,733
95374,"2,030",46.6,44
95375,106,3.0,35
95376,"49,859",7.6,"6,530"
95377,"30,902",108.0,286
95379,"3,898",53.9,72
95380,"41,201",75.0,549
95382,"36,176",10.5,"3,446"
95383,"3,937",78.4,50
95385,429,24.8,17
95386,"9,877",84.9,116
95387,636,115.9,5
95388,"13,074",38.8,337
95389,"1,272",236.0,5
95391,"9,959",23.8,419
95401,"36,981",20.6,"1,793"
95403,"45,164",22.0,"2,052"
95404,"39,761",80.0,497
95405,"21,399",5.5,"3,907"
95407,"39,352",22.7,"1,735"
95409,"27,187",38.4,708
95410,950,39.9,24
95412,401,85.7,5
95415,"1,592",55.3,29
95417,297,75.3,4
95420,374,2.0,186
95421,"1,592",216.6,7
95422,"15,585",35.2,442
95423,"3,747",102.8,36
95425,"10,841",205.7,53
95426,"2,147",20.3,106
95427,459,69.7,7
95428,"2,516",225.2,11
95429,70,40.0,2
95430,44,0.2,185
95431,631,0.1,"8,311"
95432,426,72.9,6
95435,82,0.2,532
95436,"5,418",23.0,236
95437,"14,799",97.8,151
95439,675,2.7,247
95441,"2,014",101.9,20
95442,"3,178",24.4,130
95443,233,4.2,56
95444,748,0.3,"2,764"
95445,"2,093",85.5,24
95446,"4,750",32.9,144
95448,"16,852",188.5,89
95449,"1,507",130.6,12
95450,387,27.4,14
95451,"11,213",96.2,117
95452,"1,393",14.4,97
95453,"11,256",83.7,134
95454,"2,556",267.0,10
95456,795,10.1,79
95457,"2,893",148.4,19
95458,"3,104",49.0,63
95459,504,67.1,8
95460,"2,285",27.3,84
95461,"3,413",125.2,27
95462,"1,417",5.9,241
95463,169,11.3,15
95464,"2,673",3.3,804
95465,"2,083",41.7,50
95466,946,94.0,10
95467,"5,498",9.8,560
95468,"1,258",65.2,19
95469,"1,767",174.7,10
95470,"6,032",82.5,73
95471,522,1.4,362
95472,"28,255",69.1,409
95476,"35,394",112.0,316
95482,"31,808",310.9,102
95485,"2,557",104.9,24
95486,62,0.0,"3,201"
95488,280,88.7,3
95490,"13,264",392.2,34
95492,"28,532",19.0,"1,499"
95493,198,4.5,44
95494,139,102.9,1
95497,"1,305",16.2,81
95501,"23,976",7.0,"3,403"
95503,"24,152",86.4,279
95511,360,58.4,6
95514,254,86.7,3
95519,"17,432",56.8,307
95521,"20,199",53.5,378
95524,"1,787",10.4,171
95525,"1,733",83.4,21
95526,378,110.1,3
95527,627,137.6,5
95528,"1,139",102.6,11
95531,"24,528",195.2,126
95536,"2,849",147.2,19
95537,276,0.2,"1,548"
95540,"13,657",27.8,492
95542,"2,533",197.6,13
95543,765,102.0,8
95545,153,47.9,3
95546,"3,494",136.5,26
95547,"1,222",7.5,162
95548,"1,373",87.3,16
95549,805,112.3,7
95550,128,134.9,1
95551,"1,739",42.6,41
95552,697,539.7,1
95553,"1,062",59.3,18
95554,533,50.2,11
95555,410,85.9,5
95556,605,137.0,4
95558,425,200.9,2
95559,182,18.1,10
95560,"1,648",33.3,49
95562,"3,450",24.6,140
95563,652,60.2,11
95564,462,3.3,139
95565,"1,071",33.3,32
95567,"1,930",62.6,31
95568,136,81.3,2
95569,361,61.8,6
95570,"2,579",23.7,109
95571,271,0.8,359
95573,"1,744",120.3,15
95585,508,54.5,9
95587,201,13.0,15
95589,"1,612",186.7,9
95595,262,244.8,1
95601,198,1.8,113
95602,"17,509",49.4,355
95603,"27,844",39.0,713
95604,75,0.4,187
95605,"14,179",3.9,"3,636"
95606,196,36.3,5
95607,431,134.2,3
95608,"59,418",13.0,"4,556"
95610,"44,147",7.8,"5,638"
95612,"1,239",55.5,22
95614,"3,833",35.5,108
95615,834,23.2,36
95616,"47,032",27.6,"1,707"
95618,"27,281",34.9,781
95619,"4,842",6.0,806
95620,"20,553",240.8,85
95621,"39,819",6.8,"5,863"
95623,"3,806",52.3,73
95624,"61,989",44.0,"1,409"
95625,155,1.2,134
95626,"5,975",23.3,257
95627,"3,513",51.4,68
95628,"40,196",12.8,"3,151"
95629,832,46.5,18
95630,"72,180",27.6,"2,617"
95631,"6,076",152.2,40
95632,"29,269",110.8,264
95633,"3,349",41.2,81
95634,"3,232",81.1,40
95635,"1,262",20.3,62
95636,"1,101",115.9,9
95637,370,21.1,18
95638,"2,255",78.7,29
95639,283,4.5,62
95640,"11,353",115.4,98
95641,"1,986",44.6,45
95642,"7,164",66.2,108
95645,"2,037",128.0,16
95646,158,3.8,41
95648,"47,354",141.5,335
95650,"12,447",24.7,505
95651,637,11.6,55
95652,739,3.8,196
95653,527,5.1,102
95655,"4,314",9.5,455
95658,"6,285",24.8,253
95659,702,50.0,14
95660,"30,714",6.2,"4,925"
95661,"29,791",9.0,"3,309"
95662,"31,558",10.9,"2,903"
95663,"2,377",8.0,298
95664,"1,380",37.7,37
95665,"4,426",20.3,218
95666,"5,336",55.7,96
95667,"36,726",173.2,212
95668,815,60.6,13
95669,"2,443",88.3,28
95670,"52,973",12.6,"4,220"
95672,"4,773",22.6,211
95673,"15,455",16.2,953
95674,935,32.0,29
95675,381,0.7,553
95677,"23,333",8.9,"2,635"
95678,"41,192",10.9,"3,792"
95679,55,45.9,1
95680,146,2.0,73
95681,"1,226",17.2,71
95682,"29,114",81.2,359
95683,"6,180",90.8,68
95684,"3,422",145.4,24
95685,"4,680",49.3,95
95686,"1,405",27.3,52
95687,"65,096",43.5,"1,496"
95688,"34,379",81.2,423
95689,"1,244",27.8,45
95690,"2,533",57.3,44
95691,"34,737",41.5,837
95692,"4,769",54.3,88
95693,"6,758",62.8,108
95694,"9,156",149.2,61
95695,"37,946",142.2,267
95697,425,0.2,"1,834"
95698,236,43.0,5
95699,154,4.1,38
95701,983,33.3,29
95703,897,4.5,202
95709,"4,772",22.3,214
95713,"9,495",71.2,133
95714,382,3.4,114
95715,115,26.1,4
95717,231,10.2,23
95720,157,121.1,1
95721,37,12.5,3
95722,"4,585",10.9,420
95724,27,1.2,23
95726,"8,842",74.3,119
95728,386,12.4,31
95735,68,21.7,3
95736,240,0.3,957
95742,"7,749",49.8,156
95746,"21,460",17.7,"1,215"
95747,"51,870",46.6,"1,113"
95757,"40,222",60.5,665
95758,"60,435",12.8,"4,711"
95762,"38,797",41.3,940
95765,"33,974",12.4,"2,742"
95776,"21,902",92.4,237
95811,"7,595",2.8,"2,727"
95814,"9,922",1.4,"7,105"
95815,"24,680",7.8,"3,145"
95816,"15,579",2.0,"7,611"
95817,"13,534",2.3,"5,907"
95818,"19,811",3.8,"5,158"
95819,"17,141",3.4,"5,067"
95820,"34,480",5.2,"6,638"
95821,"33,550",7.2,"4,691"
95822,"42,347",8.4,"5,014"
95823,"73,985",11.8,"6,268"
95824,"30,221",4.1,"7,442"
95825,"31,084",4.7,"6,576"
95826,"36,628",11.5,"3,179"
95827,"20,269",7.6,"2,663"
95828,"57,862",12.3,"4,698"
95829,"24,755",20.8,"1,191"
95830,934,13.0,72
95831,"41,321",7.0,"5,914"
95832,"11,924",8.3,"1,442"
95833,"37,293",7.7,"4,814"
95834,"25,899",10.0,"2,591"
95835,"35,936",9.0,"4,012"
95837,315,18.1,17
95838,"36,764",9.1,"4,055"
95841,"19,448",4.1,"4,771"
95842,"31,806",3.9,"8,121"
95843,"45,048",6.4,"6,986"
95864,"22,447",6.4,"3,499"
95901,"31,314",196.6,159
95903,"1,732",14.5,119
95910,86,34.3,3
95912,"4,685",180.5,26
95914,578,14.7,39
95915,44,22.6,2
95916,"1,441",96.8,15
95917,"3,155",68.9,46
95918,"2,339",69.1,34
95919,"1,378",24.7,56
95920,274,69.1,4
95922,687,62.8,11
95923,58,9.9,6
95925,295,33.3,9
95926,"37,725",7.7,"4,931"
95928,"36,511",137.6,265
95930,69,16.8,4
95932,"7,718",124.2,62
95934,274,20.8,13
95935,631,23.6,27
95936,352,104.9,3
95937,"1,491",50.9,29
95938,"3,787",71.9,53
95939,604,305.9,2
95941,563,15.8,36
95942,"1,301",55.9,23
95943,879,63.3,14
95944,46,50.5,1
95945,"25,199",64.2,392
95946,"9,790",41.9,234
95947,"1,899",130.5,15
95948,"10,810",78.0,139
95949,"19,741",139.6,141
95950,569,51.0,11
95951,"2,601",18.4,142
95953,"10,718",113.8,94
95954,"12,251",71.0,172
95955,"1,517",123.0,12
95956,401,67.7,6
95957,761,69.9,11
95959,"17,838",247.9,72
95960,796,48.3,16
95961,"26,510",45.8,579
95962,"1,567",29.7,53
95963,"15,493",305.7,51
95965,"20,384",320.2,64
95966,"30,643",184.1,166
95968,"1,412",1.5,912
95969,"27,549",59.0,467
95970,530,46.8,11
95971,"5,970",101.2,59
95973,"31,957",332.8,96
95974,8,8.4,1
95975,"1,769",9.4,189
95977,"1,678",39.1,43
95978,143,6.3,23
95979,597,284.4,2
95981,97,41.1,2
95982,"3,221",44.4,73
95983,428,117.9,4
95984,120,33.2,4
95986,162,8.2,20
95987,"5,992",334.7,18
95988,"8,857",310.5,29
95991,"40,593",40.7,997
95993,"36,067",85.5,422
96001,"33,865",88.0,385
96002,"33,298",30.2,"1,101"
96003,"44,461",237.5,187
96006,557,161.6,3
96007,"22,841",129.6,176
96008,"1,231",36.3,34
96009,569,220.4,3
96010,239,402.1,1
96011,218,319.1,1
96013,"4,212",229.8,18
96014,211,132.7,2
96015,465,242.0,2
96016,366,42.1,9
96017,171,146.1,1
96019,"10,082",10.9,922
96020,"2,416",40.0,60
96021,"16,097",238.6,67
96022,"15,768",242.0,65
96023,"1,240",249.8,5
96024,"1,145",178.6,6
96025,"2,310",91.7,25
96027,"2,227",476.3,5
96028,"1,464",167.3,9
96029,124,34.9,4
96031,158,354.4,0
96032,"2,407",455.5,5
96033,432,141.6,3
96034,294,110.4,3
96035,"3,324",46.0,72
96037,308,4.0,77
96038,589,17.8,33
96039,"1,251",623.1,2
96040,341,123.2,3
96041,"2,747",329.1,8
96044,"1,022",140.9,7
96046,304,179.4,2
96047,"1,004",205.9,5
96048,736,153.5,5
96049,95,15.8,6
96050,414,285.7,1
96051,"1,139",309.5,4
96052,"1,460",77.1,19
96054,366,127.7,3
96055,"3,935",63.2,62
96056,"1,642",337.3,5
96057,"1,355",316.3,4
96058,798,434.9,2
96059,688,78.4,9
96061,36,41.3,1
96062,"1,105",72.9,15
96063,125,12.0,10
96064,"4,574",479.1,10
96065,357,84.8,4
96067,"7,165",135.9,53
96068,183,40.1,5
96069,982,88.6,11
96071,125,80.2,2
96073,"4,082",44.5,92
96074,260,100.1,3
96075,369,68.8,5
96076,166,207.0,1
96080,"28,764",612.2,47
96084,625,105.3,6
96085,85,74.6,1
96086,338,256.7,1
96087,600,78.3,8
96088,"4,506",157.6,29
96090,421,1.0,410
96091,699,452.2,2
96092,496,49.4,10
96093,"4,133",58.7,70
96094,"6,630",247.4,27
96096,695,113.9,6
96097,"10,031",190.7,53
96101,"5,490",584.2,9
96103,"1,725",125.7,14
96104,748,192.5,4
96105,527,253.2,2
96106,479,23.4,20
96107,"1,269",88.9,14
96108,122,198.0,1
96109,"2,197",197.9,11
96110,166,149.7,1
96111,160,33.5,5
96112,214,126.7,2
96113,"1,000",6.8,147
96114,"3,220",68.0,47
96115,145,99.6,1
96116,233,251.0,1
96117,405,326.7,1
96118,"1,627",202.9,8
96119,90,162.1,1
96120,957,210.7,5
96121,368,33.5,11
96122,"3,883",61.3,63
96123,48,204.4,0
96124,326,57.7,6
96125,258,98.9,3
96126,215,88.7,2
96128,752,31.4,24
96129,261,94.4,3
96130,"23,150",479.9,48
96132,119,388.4,0
96133,110,12.7,9
96134,"2,512",331.8,8
96135,128,33.3,4
96136,104,148.1,1
96137,"3,297",48.4,68
96140,"1,170",4.7,249
96141,744,12.0,62
96142,"1,037",20.2,51
96143,"4,414",5.5,802
96145,"3,161",37.2,85
96146,"1,366",20.9,65
96148,788,1.4,580
96150,"29,792",123.6,241
96155,8,37.0,0
96161,"18,451",181.8,101
97635,165,41.1,4
