Zip Code,Counts
95350,10445.0
95355,8315.0
92021,7957.0
92307,7903.0
95630,7697.0
90242,7464.0
93003,7408.0
95926,7077.0
95823,7043.0
95991,6906.0
94538,6803.0
95603,6722.0
95370,6719.0
93277,6684.0
93065,6677.0
96001,6659.0
93454,6534.0
92262,6518.0
93720,6353.0
92708,6343.0
93257,6262.0
91786,6247.0
91355,6184.0
92345,6144.0
93308,6138.0
95825,6057.0
95667,6005.0
92395,5901.0
93534,5883.0
95758,5824.0
91505,5691.0
92103,5686.0
95661,5679.0
95351,5654.0
93301,5572.0
93901,5563.0
94550,5548.0
95670,5545.0
95821,5488.0
92024,5402.0
95207,5371.0
95501,5232.0
95210,5215.0
92677,5215.0
94114,5105.0
92835,5100.0
93726,5094.0
92553,5079.0
93274,5052.0
93230,5049.0
94080,5023.0
93551,5020.0
92404,5013.0
95966,5010.0
95376,4985.0
96007,4932.0
92506,4904.0
95482,4869.0
93612,4869.0
93030,4868.0
92071,4830.0
95380,4796.0
95336,4791.0
96003,4789.0
94598,4782.0
92648,4764.0
92083,4756.0
95945,4749.0
94583,4726.0
92025,4723.0
92530,4721.0
92562,4711.0
95204,4679.0
95678,4659.0
96080,4658.0
95993,4657.0
95621,4646.0
95687,4630.0
93536,4600.0
91942,4593.0
90505,4571.0
91910,4560.0
92691,4560.0
91710,4557.0
92683,4534.0
93105,4527.0
94533,4487.0
90048,4482.0
90806,4474.0
91360,4471.0
95422,4456.0
93436,4430.0
94509,4363.0
94928,4345.0
92335,4334.0
90631,4329.0
91730,4325.0
95901,4323.0
93446,4288.0
93710,4286.0
95301,4277.0
92123,4265.0
92660,4259.0
93711,4257.0
95340,4235.0
94565,4229.0
96150,4212.0
94558,4180.0
95624,4162.0
90027,4160.0
95405,4117.0
92543,4099.0
95969,4075.0
94611,4074.0
92201,4069.0
92646,4022.0
92284,4013.0
93611,4000.0
93906,4000.0
93312,3975.0
93727,3970.0
95242,3959.0
92626,3940.0
93309,3930.0
95691,3926.0
92705,3922.0
93306,3907.0
96002,3902.0
94115,3901.0
92111,3828.0
94513,3812.0
93555,3803.0
94546,3797.0
95822,3787.0
90277,3772.0
93722,3757.0
92020,3701.0
93637,3695.0
92128,3691.0
92591,3687.0
93010,3676.0
95628,3674.0
95816,3669.0
92647,3655.0
92260,3649.0
92243,3648.0
93940,3642.0
93420,3625.0
94531,3624.0
94587,3613.0
92804,3599.0
95928,3590.0
92056,3584.0
94609,3575.0
95356,3564.0
90211,3564.0
92373,3561.0
92879,3557.0
92376,3550.0
90404,3548.0
92392,3546.0
90731,3531.0
95020,3529.0
95124,3503.0
94596,3498.0
92583,3484.0
92101,3475.0
93313,3466.0
96130,3455.0
94501,3449.0
95062,3438.0
91307,3434.0
92037,3432.0
95453,3424.0
95642,3423.0
95361,3409.0
92324,3409.0
92069,3403.0
95307,3386.0
92653,3367.0
95205,3351.0
94553,3339.0
90250,3339.0
95531,3331.0
92110,3324.0
93635,3323.0
90732,3320.0
92544,3315.0
92503,3304.0
95240,3298.0
93552,3286.0
95403,3280.0
91335,3275.0
91790,3271.0
92592,3258.0
90036,3244.0
90807,3244.0
94110,3243.0
90620,3241.0
91402,3220.0
95608,3220.0
92882,3215.0
91016,3199.0
92346,3187.0
95051,3185.0
91767,3185.0
91911,3181.0
92311,3178.0
90802,3172.0
91706,3165.0
91320,3157.0
92270,3154.0
92064,3154.0
94040,3144.0
91709,3133.0
92801,3129.0
92870,3125.0
91356,3123.0
95076,3110.0
94063,3102.0
91344,3098.0
92253,3080.0
90630,3079.0
95060,3066.0
96097,3060.0
95382,3059.0
91436,3046.0
91325,3044.0
95747,3036.0
95695,3010.0
94109,3004.0
90808,3001.0
92545,2998.0
94588,2996.0
94102,2996.0
92054,2982.0
94087,2982.0
94941,2964.0
92675,2958.0
90706,2947.0
94015,2941.0
92704,2934.0
91740,2933.0
91316,2927.0
95008,2923.0
92374,2919.0
92563,2916.0
95648,2911.0
94806,2911.0
92840,2906.0
92336,2902.0
90712,2900.0
95610,2897.0
93291,2893.0
91405,2884.0
93311,2883.0
92027,2860.0
92673,2855.0
92780,2852.0
90292,2851.0
90815,2827.0
92120,2825.0
92234,2816.0
90650,2815.0
91403,2803.0
90028,2802.0
95819,2801.0
94577,2797.0
90713,2777.0
95401,2772.0
92399,2769.0
90045,2763.0
94578,2760.0
93101,2752.0
90025,2748.0
94523,2726.0
92630,2719.0
92010,2718.0
90247,2698.0
92407,2685.0
92126,2685.0
94954,2654.0
94545,2652.0
93644,2638.0
95476,2623.0
92886,2616.0
92821,2614.0
91773,2610.0
91745,2609.0
92869,2598.0
93304,2590.0
94564,2577.0
90241,2572.0
93662,2566.0
95023,2564.0
90301,2559.0
92692,2548.0
94118,2541.0
95833,2534.0
90638,2531.0
91324,2531.0
95682,2521.0
94117,2511.0
92507,2501.0
95843,2494.0
92807,2494.0
95035,2491.0
93455,2484.0
92028,2483.0
90660,2478.0
91702,2477.0
91401,2470.0
90035,2467.0
93955,2463.0
92584,2455.0
91364,2454.0
92115,2439.0
95765,2423.0
94520,2421.0
91950,2409.0
93561,2395.0
90602,2392.0
92833,2381.0
95118,2378.0
93907,2377.0
93422,2376.0
95540,2376.0
91350,2362.0
93117,2353.0
94903,2350.0
95688,2344.0
90069,2338.0
95835,2335.0
90503,2320.0
95032,2315.0
94544,2313.0
90804,2313.0
92649,2309.0
90640,2297.0
93444,2293.0
94401,2292.0
94566,2290.0
90740,2278.0
92154,2275.0
92860,2265.0
92604,2246.0
92026,2242.0
92627,2238.0
90403,2238.0
94590,2226.0
90501,2220.0
91351,2217.0
94066,2210.0
92586,2208.0
95337,2202.0
92211,2193.0
95949,2184.0
92227,2174.0
94530,2172.0
94541,2169.0
90046,2166.0
92078,2156.0
91977,2150.0
92203,2146.0
92806,2144.0
94103,2144.0
93060,2144.0
93063,2139.0
91803,2127.0
93033,2121.0
94070,2120.0
95490,2119.0
95119,2111.0
95815,2111.0
92009,2107.0
95037,2107.0
91030,2102.0
95019,2099.0
95762,2096.0
92865,2094.0
94112,2079.0
95632,2071.0
92117,2064.0
93023,2060.0
92104,2055.0
94901,2055.0
95003,2051.0
92308,2050.0
91754,2036.0
92040,2030.0
90034,2029.0
95492,2027.0
92354,2024.0
93401,2015.0
91801,2015.0
93036,2013.0
91206,2011.0
91701,2010.0
91321,2007.0
94025,1996.0
92571,1972.0
92595,1972.0
94945,1964.0
91367,1964.0
95437,1964.0
94579,1963.0
95521,1963.0
92223,1960.0
95123,1959.0
93535,1956.0
92843,1948.0
92065,1943.0
95050,1942.0
90278,1940.0
91741,1939.0
93245,1936.0
92057,1933.0
92881,1932.0
93933,1928.0
95965,1927.0
95831,1925.0
90720,1923.0
92618,1919.0
92019,1916.0
92220,1914.0
95662,1912.0
93657,1911.0
94591,1901.0
92225,1901.0
95817,1900.0
95126,1891.0
92109,1890.0
91105,1887.0
93631,1887.0
95348,1881.0
94010,1880.0
92656,1879.0
92505,1873.0
95122,1869.0
91362,1867.0
93703,1865.0
91006,1853.0
92629,1851.0
91302,1849.0
90049,1842.0
91301,1842.0
91604,1841.0
90210,1841.0
95677,1841.0
94122,1836.0
92240,1835.0
95363,1830.0
90745,1830.0
91423,1828.0
92008,1816.0
94402,1816.0
91764,1811.0
93292,1811.0
91107,1807.0
92880,1804.0
95660,1801.0
90803,1799.0
94510,1796.0
92509,1792.0
94521,1792.0
90272,1788.0
93618,1787.0
94559,1787.0
92868,1770.0
91342,1770.0
94619,1757.0
95472,1755.0
95961,1749.0
91506,1742.0
91504,1740.0
91723,1729.0
95503,1723.0
93021,1719.0
95367,1718.0
92557,1716.0
90805,1713.0
90710,1713.0
92084,1710.0
91304,1709.0
95252,1705.0
94019,1703.0
91748,1696.0
92688,1693.0
91326,1692.0
92411,1691.0
92845,1686.0
90230,1685.0
95811,1684.0
91101,1684.0
95842,1681.0
93402,1678.0
90703,1678.0
91941,1673.0
92129,1671.0
91761,1668.0
95448,1665.0
94601,1662.0
94403,1658.0
92408,1651.0
90266,1645.0
95125,1644.0
91106,1640.0
92651,1636.0
95128,1628.0
91361,1628.0
94526,1622.0
