Zip Code,Counts
95350,67935.0
90242,61370.0
95355,54514.0
93003,51060.0
95630,50943.0
92021,49944.0
92307,47821.0
93065,46860.0
95370,45992.0
93720,45902.0
95926,45547.0
93277,44715.0
92708,44710.0
96001,44692.0
95823,44617.0
94538,43443.0
95825,43027.0
95991,42627.0
93454,42540.0
95603,42377.0
93534,41907.0
91786,41376.0
92262,40922.0
93308,39345.0
95661,38719.0
95758,38646.0
95501,38354.0
95667,38340.0
93257,38195.0
91355,37772.0
92345,37695.0
91505,37203.0
92395,36780.0
95351,36496.0
92103,36240.0
95670,36024.0
95210,35738.0
94114,35625.0
95207,35278.0
93901,35190.0
92024,35090.0
95966,34903.0
94550,34469.0
92677,34468.0
93551,34002.0
94080,33969.0
93230,33864.0
93301,33813.0
95821,33812.0
96003,33700.0
93274,33688.0
92083,33297.0
95380,33178.0
95482,33101.0
92506,32889.0
93726,32721.0
93612,32610.0
90505,32566.0
95340,32131.0
95687,31984.0
92404,31930.0
92648,31746.0
93030,31693.0
92553,31517.0
91360,31435.0
92025,31174.0
92683,31099.0
94583,31001.0
90806,30811.0
95376,30744.0
90048,30712.0
90631,30682.0
91910,30656.0
95621,30583.0
95993,30564.0
94533,30548.0
94928,30518.0
95901,30462.0
92660,30400.0
96080,30365.0
92562,30049.0
94509,29976.0
92835,29845.0
92691,29725.0
91942,29698.0
91710,29650.0
93536,29573.0
92071,29510.0
92705,29472.0
95945,29440.0
92335,29326.0
93711,29228.0
95678,29022.0
94558,28984.0
96007,28628.0
91730,28569.0
95336,28524.0
95969,28369.0
92530,28235.0
90027,27997.0
92392,27846.0
92646,27824.0
93436,27772.0
94115,27704.0
93710,27619.0
95422,27575.0
93309,27474.0
92284,27232.0
94565,27208.0
95204,27058.0
96002,27024.0
92626,26810.0
93611,26705.0
94611,26636.0
93105,26540.0
93727,26539.0
95242,26424.0
92123,26323.0
93446,26294.0
93306,26196.0
93906,26163.0
96150,26065.0
92543,26049.0
92647,25978.0
95608,25951.0
92804,25888.0
95816,25779.0
92201,25723.0
95624,25614.0
95405,25580.0
92020,25474.0
94598,25347.0
92128,25282.0
95301,25263.0
95822,25238.0
92591,25115.0
94546,24939.0
92373,24917.0
92879,24900.0
95531,24872.0
93420,24853.0
95356,24849.0
92243,24733.0
92801,24619.0
90211,24506.0
95928,23966.0
92037,23906.0
94501,23882.0
90404,23863.0
94587,23801.0
95691,23722.0
94513,23703.0
92056,23699.0
91016,23633.0
95205,23537.0
93940,23494.0
93312,23488.0
92110,23408.0
95307,23395.0
92111,23356.0
90250,23320.0
96130,23264.0
95642,23156.0
92260,23135.0
93010,23106.0
94531,23013.0
93555,22911.0
95051,22905.0
93637,22904.0
94609,22870.0
90277,22866.0
91307,22847.0
93635,22823.0
93722,22806.0
94596,22787.0
95062,22513.0
92376,22419.0
90706,22413.0
90630,22370.0
92653,22339.0
91911,22296.0
90807,22222.0
95020,22192.0
92882,22124.0
95124,22099.0
94040,22028.0
95403,21996.0
95361,21905.0
91706,21856.0
94553,21812.0
95240,21804.0
94110,21771.0
92253,21745.0
92069,21727.0
92324,21723.0
90732,21706.0
90731,21698.0
92311,21682.0
91335,21661.0
90802,21614.0
91356,21524.0
94087,21496.0
95695,21270.0
94063,21228.0
92630,21118.0
93313,21116.0
90650,21095.0
91344,21036.0
95453,21003.0
93552,20960.0
92780,20871.0
92840,20839.0
90620,20823.0
92870,20793.0
91325,20713.0
95008,20604.0
90712,20568.0
96097,20540.0
92120,20469.0
92503,20462.0
92054,20459.0
94588,20446.0
94015,20379.0
92592,20156.0
94102,20132.0
91405,20104.0
92234,20089.0
95747,20089.0
90036,20002.0
92101,19978.0
94109,19975.0
92399,19937.0
90292,19895.0
93311,19870.0
91402,19817.0
90045,19798.0
92583,19771.0
91316,19736.0
92544,19705.0
90815,19700.0
90713,19660.0
94941,19634.0
95628,19589.0
92545,19574.0
95382,19544.0
92704,19520.0
91767,19452.0
95060,19432.0
92675,19395.0
91709,19237.0
91790,19224.0
91364,19171.0
92064,19131.0
94520,19096.0
91740,19023.0
93304,18967.0
92563,18939.0
95610,18887.0
92270,18803.0
90028,18763.0
95819,18696.0
92027,18661.0
91403,18589.0
92692,18558.0
91320,18528.0
95648,18504.0
92336,18503.0
95401,18437.0
90247,18360.0
94577,18280.0
93117,18270.0
92346,18177.0
94806,18138.0
90025,18127.0
91436,18120.0
90808,18110.0
95834,18041.0
92126,17973.0
95118,17926.0
91324,17923.0
94578,17847.0
92115,17807.0
95023,17738.0
92807,17735.0
93644,17618.0
91401,17617.0
92673,17546.0
92374,17503.0
94523,17470.0
95476,17410.0
90301,17385.0
90638,17380.0
95035,17379.0
92821,17371.0
95843,17292.0
93422,17252.0
93955,17186.0
91702,17159.0
94545,17129.0
90035,17107.0
94590,17073.0
92507,17063.0
91773,17060.0
92604,17036.0
90804,17023.0
91745,16938.0
92886,16932.0
95833,16912.0
90640,16791.0
95032,16760.0
90069,16756.0
93907,16668.0
95076,16641.0
95765,16608.0
92407,16603.0
90241,16469.0
90503,16360.0
90740,16321.0
94103,16290.0
93291,16265.0
94903,16229.0
91351,16201.0
94118,16149.0
90660,16147.0
95540,16086.0
94954,16057.0
94564,15992.0
92649,15936.0
94544,15902.0
91950,15901.0
94541,15808.0
94901,15806.0
93444,15783.0
90403,15753.0
94112,15743.0
92627,15740.0
92869,15707.0
93101,15692.0
95682,15686.0
91350,15644.0
92586,15549.0
92117,15408.0
93036,15353.0
94117,15323.0
90046,15267.0
95688,15220.0
92026,15219.0
95337,15211.0
92843,15142.0
92154,15138.0
92028,15055.0
91701,15006.0
94566,14985.0
93535,14979.0
93063,14956.0
95019,14938.0
94066,14886.0
95037,14856.0
91367,14856.0
93455,14853.0
95949,14714.0
93662,14665.0
92010,14647.0
92865,14639.0
93561,14578.0
90602,14489.0
92009,14412.0
91761,14349.0
90501,14251.0
93401,14098.0
93023,14097.0
92833,14086.0
94591,14051.0
92354,14025.0
92104,14016.0
95817,13946.0
94945,13870.0
91604,13859.0
91321,13845.0
94010,13825.0
93292,13816.0
91206,13805.0
91801,13767.0
95835,13736.0
90278,13697.0
95492,13676.0
90034,13634.0
95815,13617.0
94070,13617.0
91754,13601.0
95437,13592.0
93033,13588.0
95119,13582.0
92505,13541.0
92656,13527.0
92584,13518.0
95490,13472.0
92220,13436.0
91506,13428.0
91941,13383.0
95123,13313.0
95126,13285.0
92203,13265.0
95831,13257.0
92240,13250.0
92211,13197.0
90210,13166.0
95521,13144.0
95050,13129.0
95003,13111.0
91107,13042.0
94025,12972.0
93060,12955.0
92806,12894.0
94122,12889.0
95677,12859.0
92227,12856.0
92408,12801.0
94521,12788.0
93245,12785.0
92057,12782.0
91977,12715.0
92618,12709.0
91741,12701.0
92109,12693.0
92040,12668.0
92595,12663.0
95762,12653.0
92571,12650.0
91423,12633.0
94530,12627.0
92308,12607.0
92868,12573.0
95965,12555.0
92078,12533.0
91301,12502.0
90710,12451.0
92860,12433.0
92065,12429.0
92223,12407.0
90024,12402.0
90230,12356.0
91361,12307.0
95348,12252.0
91105,12206.0
95503,12085.0
92084,12078.0
94526,12049.0
92225,12043.0
94619,12007.0
95128,11945.0
92651,11882.0
90703,11853.0
91362,11847.0
91711,11817.0
95660,11815.0
91006,11811.0
95472,11784.0
93631,11777.0
90720,11729.0
90272,11686.0
91748,11676.0
93618,11652.0
95122,11648.0
90049,11621.0
94402,11616.0
92008,11518.0
92688,11477.0
93933,11431.0
94403,11430.0
94952,11419.0
91331,11377.0
91030,11376.0
94579,11370.0
92629,11262.0
92881,11242.0
92557,11209.0
95632,11168.0
95409,11136.0
91723,11116.0
92880,11104.0
93703,11097.0
90266,11096.0
93402,11071.0
91504,11048.0
91803,11038.0
92845,11036.0
91764,10976.0
96161,10964.0
90803,10963.0
92509,10939.0
95125,10936.0
94306,10866.0
91342,10848.0
92019,10808.0
95662,10786.0
93021,10718.0
93405,10712.0
90603,10674.0
91326,10653.0
95448,10651.0
90805,10649.0
94559,10640.0
91607,10627.0
96021,10620.0
94568,10600.0
91304,10594.0
90745,10583.0
93657,10583.0
93215,10570.0
92119,10546.0
94123,10525.0
92315,10516.0
90280,10489.0
91302,10453.0
91303,10426.0
90291,10419.0
94561,10400.0
92108,10385.0
91007,10370.0
95367,10326.0
92411,10316.0
91101,10316.0
95010,10309.0
93705,10304.0
90303,10299.0
95824,10295.0
94019,10224.0
92832,10209.0
93268,10208.0
92129,10163.0
94510,10145.0
95363,10127.0
92782,10097.0
94804,10089.0
93013,10087.0
91750,10057.0
95129,9985.0
91722,9970.0
91606,9948.0
92501,9928.0
94401,9920.0
90041,9911.0
90016,9895.0
90033,9855.0
91765,9854.0
92508,9808.0
94601,9801.0
92610,9796.0
90006,9752.0
95620,9718.0
95616,9661.0
95961,9650.0
93560,9633.0
92131,9623.0
92058,9583.0
90717,9574.0
94061,9569.0
90405,9553.0
91010,9541.0
93905,9536.0
93305,9506.0
90265,9505.0
95826,9452.0
94551,9443.0
95746,9438.0
95811,9437.0
90022,9399.0
95407,9339.0
92706,9310.0
94534,9300.0
92264,9299.0
95066,9298.0
90723,9284.0
94041,9175.0
93654,9141.0
91106,9072.0
91762,9034.0
94044,9033.0
93514,9018.0
93923,9006.0
91411,9002.0
95828,8959.0
90262,8933.0
90201,8917.0
92802,8915.0
91104,8883.0
90680,8880.0
95842,8877.0
92504,8833.0
92105,8828.0
95963,8815.0
91763,8747.0
92532,8710.0
92867,8706.0
91387,8695.0
94801,8681.0
90245,8636.0
95127,8625.0
95519,8589.0
92887,8564.0
95820,8563.0
95377,8552.0
94404,8539.0
94536,8528.0
91502,8512.0
91915,8505.0
92637,8489.0
94960,8479.0
93041,8453.0
91345,8445.0
94608,8433.0
91042,8414.0
92672,8362.0
94589,8346.0
95948,8295.0
94121,8288.0
94301,8257.0
95988,8229.0
92831,8229.0
93950,8173.0
90701,8169.0
90038,8120.0
96093,8098.0
91770,8095.0
95404,8081.0
92694,8075.0
94612,8045.0
90274,8018.0
95425,7992.0
90008,7991.0
95971,7977.0
93610,7958.0
91204,7923.0
95014,7872.0
90240,7867.0
90813,7855.0
91311,7794.0
95249,7788.0
90255,7787.0
93108,7785.0
90026,7718.0
91306,7710.0
93550,7686.0
95148,7637.0
90064,7629.0
91945,7622.0
91766,7605.0
91744,7604.0
94014,7602.0
90220,7557.0
92075,7556.0
90007,7535.0
90670,7532.0
94519,7505.0
95212,7504.0
95366,7484.0
93210,7482.0
94803,7477.0
90039,7464.0
96067,7452.0
93238,7431.0
91205,7428.0
92130,7357.0
95776,7355.0
90057,7349.0
96013,7319.0
91791,7315.0
95018,7311.0
91901,7285.0
92118,7269.0
91752,7264.0
91384,7251.0
90601,7244.0
95618,7242.0
94539,7232.0
94503,7216.0
96073,7214.0
90623,7190.0
95354,7159.0
95203,7151.0
93449,7135.0
95206,7108.0
91406,7087.0
95446,7036.0
95360,7000.0
95112,6993.0
92371,6985.0
90066,6950.0
94030,6933.0
92127,6931.0
95932,6917.0
90042,6905.0
93012,6890.0
90212,6883.0
92555,6879.0
94132,6845.0
95252,6817.0
95841,6787.0
92231,6781.0
93706,6770.0
92602,6759.0
94517,6757.0
90020,6694.0
95121,6667.0
95383,6659.0
90509,6642.0
92337,6573.0
94602,6534.0
92121,6523.0
91902,6501.0
94706,6473.0
94571,6468.0
94127,6446.0
94002,6411.0
95665,6378.0
94304,6363.0
93212,6350.0
95726,6319.0
90019,6294.0
93004,6291.0
90744,6265.0
94022,6264.0
93505,6257.0
92122,6244.0
94597,6239.0
90605,6236.0
94560,6214.0
94547,6198.0
95864,6167.0
94124,6154.0
90047,6131.0
91601,6120.0
92113,6043.0
95222,6034.0
90017,6018.0
95953,6017.0
93728,5992.0
95138,5975.0
95565,5950.0
92014,5948.0
95650,5928.0
92102,5897.0
94116,5893.0
94574,5860.0
90023,5833.0
95120,5833.0
95338,5741.0
91381,5735.0
94931,5726.0
93307,5705.0
91001,5701.0
93111,5691.0
94062,5690.0
94947,5681.0
95304,5666.0
94506,5663.0
90012,5654.0
90502,5643.0
91780,5643.0
94621,5641.0
94705,5626.0
92124,5600.0
92116,5586.0
94605,5583.0
95030,5572.0
94133,5563.0
91732,5563.0
91214,5562.0
90606,5562.0
94949,5559.0
92808,5552.0
95320,5551.0
94563,5545.0
91724,5541.0
93442,5527.0
92844,5520.0
92570,5504.0
91932,5499.0
95341,5495.0
95223,5490.0
93930,5483.0
94043,5457.0
95829,5454.0
95954,5445.0
95209,5434.0
92701,5389.0
91202,5380.0
94549,5361.0
91340,5349.0
93221,5313.0
94704,5311.0
92352,5305.0
90232,5295.0
90248,5295.0
95742,5291.0
90061,5287.0
94502,5279.0
91352,5250.0
95573,5246.0
90015,5243.0
92011,5239.0
95116,5237.0
90401,5228.0
92663,5225.0
94507,5214.0
91011,5192.0
94555,5178.0
91208,5172.0
96101,5147.0
95386,5142.0
94595,5129.0
91602,5092.0
90004,5062.0
90254,5059.0
93103,5039.0
92551,5038.0
91792,4994.0
94086,4976.0
95542,4911.0
91737,4873.0
93110,4851.0
91201,4850.0
91103,4816.0
93927,4813.0
94134,4807.0
94610,4800.0
92106,4786.0
92081,4786.0
95132,4781.0
93650,4781.0
92252,4770.0
93109,4750.0
91768,4743.0
94585,4743.0
93240,4732.0
93458,4720.0
95202,4696.0
95330,4690.0
90621,4672.0
93960,4671.0
94709,4643.0
93001,4638.0
94607,4606.0
93630,4600.0
90260,4566.0
92612,4559.0
90755,4525.0
90044,4511.0
93015,4503.0
92301,4501.0
94904,4493.0
90504,4463.0
95640,4443.0
95219,4426.0
95315,4420.0
