Zip Code,Size AGI,Returns,Joint Returns,AGI,Unemployment Returns,Unemployment Amount,Taxable Income Returns,Taxable Income Amount
91020,50K under 75K,545,190,33409,58,518,539,22190
91020,75K under 100K,352,194,30283,50,506,350,20507
91020,100K under 200K,394,303,52231,40,327,392,35858
91020,200K or more,76,56,28107,0,0,76,20537
91024,1 under 25K,1460,139,17081,131,1225,695,4428
91024,25K under 50K,926,217,33832,102,965,860,18431
91024,50K under 75K,756,272,46295,57,470,735,29656
91024,75K under 100K,563,275,48596,45,478,557,32837
91024,100K under 200K,1032,757,144887,101,1017,1031,101488
91024,200K or more,573,500,250028,22,209,570,191918
91030,1 under 25K,3341,436,38521,291,2730,1589,9753
91030,25K under 50K,2228,566,82311,314,3781,2110,45145
91030,50K under 75K,1867,615,115533,168,1663,1835,77114
91030,75K under 100K,1288,606,111317,128,1379,1276,76263
91030,100K under 200K,2046,1487,284262,200,1775,2039,197843
91030,200K or more,1176,1005,561476,65,634,1173,432554
91040,1 under 25K,3293,499,41119,400,3476,1523,9593
91040,25K under 50K,2235,692,81580,312,3265,2070,40667
91040,50K under 75K,1433,616,89095,162,1702,1411,52806
91040,75K under 100K,966,581,83595,137,1242,961,51677
91040,100K under 200K,1257,991,166971,203,1588,1255,111659
91040,200K or more,260,222,117416,0,0,259,90280
91042,1 under 25K,4716,895,60028,531,4745,2095,12590
91042,25K under 50K,3019,985,109256,391,3898,2797,52761
91042,50K under 75K,1768,859,109118,224,2175,1738,64634
91042,75K under 100K,1024,626,88377,121,1125,1019,56157
91042,100K under 200K,1239,977,164308,166,1537,1238,112189
91042,200K or more,195,158,64279,0,0,195,50125
91101,1 under 25K,3345,379,41548,264,2365,1563,9617
91101,25K under 50K,2218,406,80941,254,2771,2145,47549
91101,50K under 75K,1567,365,97246,125,1104,1551,69261
91101,75K under 100K,987,287,85074,65,402,977,62647
91101,100K under 200K,1242,580,167142,96,873,1233,125412
91101,200K or more,396,246,232050,21,171,394,172754
91103,1 under 25K,5689,617,73438,469,3610,2533,12934
91103,25K under 50K,2597,662,91989,272,2566,2392,42364
91103,50K under 75K,1154,417,70821,107,984,1134,41674
91103,75K under 100K,656,307,56507,72,692,645,36008
91103,100K under 200K,929,610,126716,89,861,923,85781
91103,200K or more,592,493,341735,22,153,589,265535
91104,1 under 25K,6277,885,79815,574,4834,2823,16781
91104,25K under 50K,3750,996,134194,444,4644,3485,66154
91104,50K under 75K,2048,840,125697,224,2082,2017,76946
91104,75K under 100K,1352,651,117366,134,1264,1349,77786
91104,100K under 200K,2118,1530,291307,251,2022,2116,199067
91104,200K or more,661,554,215565,51,341,660,165789
91105,1 under 25K,1356,143,15241,111,1130,645,3946
91105,25K under 50K,911,151,34105,103,1137,842,19174
91105,50K under 75K,792,181,49034,73,709,758,31484
91105,75K under 100K,616,215,53362,49,530,598,35391
91105,100K under 200K,1333,747,189955,119,1127,1328,131606
91105,200K or more,1230,957,763473,55,545,1228,587367
91106,1 under 25K,3752,421,47107,352,3247,1900,12502
91106,25K under 50K,2664,507,96095,259,2605,2553,55360
91106,50K under 75K,1712,478,105912,130,1020,1688,71041
91106,75K under 100K,1103,395,95588,91,795,1097,66795
91106,100K under 200K,1487,832,201253,123,1054,1475,144136
91106,200K or more,897,698,731925,46,477,893,593573
91107,1 under 25K,4913,722,59039,488,4442,2265,13538
91107,25K under 50K,3248,861,118739,374,4058,3015,62460
91107,50K under 75K,2278,825,140918,211,2161,2229,88174
91107,75K under 100K,1539,775,132852,127,1222,1520,85977
91107,100K under 200K,2682,1900,368274,262,2308,2666,251730
91107,200K or more,1257,1048,618327,67,554,1255,491268
91108,1 under 25K,1729,258,16437,43,422,766,4063
91108,25K under 50K,756,236,28010,41,404,643,13773
91108,50K under 75K,533,212,33288,28,241,491,18712
91108,75K under 100K,452,254,39148,25,275,436,22212
91108,100K under 200K,1175,894,170892,73,706,1156,109029
91108,200K or more,1636,1430,1155548,58,589,1632,900728
91201,1 under 25K,4558,1132,56682,450,3758,1909,11874
91201,25K under 50K,2548,850,91380,344,3666,2384,45823
91201,50K under 75K,1241,542,76196,142,1301,1223,47676
91201,75K under 100K,725,405,62900,84,730,722,41659
91201,100K under 200K,875,648,116796,130,1146,874,78994
91201,200K or more,215,175,83637,0,0,215,65659
91202,1 under 25K,3796,764,46998,377,3521,1727,11164
91202,25K under 50K,2301,727,84181,299,3382,2144,43455
91202,50K under 75K,1498,610,92014,154,1504,1468,57855
91202,75K under 100K,954,483,82233,84,813,945,54510
91202,100K under 200K,1284,933,174259,147,1370,1277,121346
91202,200K or more,497,388,202422,33,354,497,157411
91203,1 under 25K,2946,675,37143,296,2552,1265,8062
91203,25K under 50K,1755,509,63035,202,2131,1675,33432
91203,50K under 75K,887,382,54081,84,788,876,34711
91203,75K under 100K,463,243,39981,53,556,458,27328
91203,100K under 200K,393,262,51969,52,370,388,36258
91203,200K or more,130,84,111251,0,0,129,89754
91204,1 under 25K,3292,735,42983,364,3212,1453,9306
91204,25K under 50K,1922,576,68390,230,2220,1837,35136
91204,50K under 75K,768,341,46618,87,829,763,30212
91204,75K under 100K,351,191,30024,54,436,351,21055
91204,100K under 200K,255,181,32968,0,0,252,23647
91204,200K or more,33,0,13612,0,0,33,11218
91205,1 under 25K,8039,1865,101641,804,6534,3459,21216
91205,25K under 50K,4426,1321,158372,484,4683,4227,82571
91205,50K under 75K,1691,709,102551,177,1616,1683,66533
91205,75K under 100K,853,453,73302,108,854,851,50409
91205,100K under 200K,742,500,94940,93,748,740,67264
91205,200K or more,89,67,43836,0,0,88,36830
91206,1 under 25K,5601,1212,70495,624,5917,2570,16223
91206,25K under 50K,3531,1030,128949,435,4499,3364,68396
91206,50K under 75K,1981,829,121995,194,2061,1953,76864
91206,75K under 100K,1240,657,107054,152,1612,1235,71997
91206,100K under 200K,1645,1172,223253,178,1651,1641,154430
91206,200K or more,646,529,240232,49,409,646,185325
91207,1 under 25K,1493,300,18129,137,1247,663,4253
91207,25K under 50K,933,268,34225,111,1174,863,18015
91207,50K under 75K,672,251,41205,73,814,650,25181
91207,75K under 100K,433,242,37290,38,429,427,23837
91207,100K under 200K,774,573,109371,86,852,772,72936
91207,200K or more,551,461,258958,39,328,551,204018
91208,1 under 25K,2082,337,24170,173,1580,923,5844
91208,25K under 50K,1416,441,52005,168,1786,1268,25961
91208,50K under 75K,1000,431,61747,92,982,953,36180
91208,75K under 100K,762,440,66368,69,806,747,41438
91208,100K under 200K,1495,1150,209966,152,1415,1489,139889
91208,200K or more,796,670,317424,48,420,796,244510
91210,1 under 25K,41,0,520,0,0,22,180
91210,25K under 50K,45,0,2124,0,0,45,1436
91210,50K under 75K,0,0,0,0,0,0,0
91210,75K under 100K,27,0,2258,0,0,27,1569
91210,100K under 200K,45,58,6474,0,0,45,4681
91210,200K or more,29,0,12236,0,0,29,9442
91214,1 under 25K,4033,755,47222,310,2894,1755,10541
91214,25K under 50K,2567,977,94056,304,3505,2304,44383
91214,50K under 75K,1988,967,124252,193,2024,1945,71308
91214,75K under 100K,1453,922,126618,161,1536,1448,79272
91214,100K under 200K,2625,2192,364161,286,2596,2618,244212
91214,200K or more,824,747,276785,60,560,824,212568
91301,1 under 25K,3840,420,41586,270,2471,1751,10478
91301,25K under 50K,1870,523,68232,243,2803,1637,33242
91301,50K under 75K,1468,583,91600,181,2177,1413,52657
91301,75K under 100K,1151,680,100329,117,1256,1131,60185
91301,100K under 200K,2443,1963,347021,290,2588,2440,229287
91301,200K or more,1435,1290,640595,74,589,1430,497905
91302,1 under 25K,3406,351,33756,254,2705,1485,8732
91302,25K under 50K,1657,429,61024,215,2638,1421,30244
91302,50K under 75K,1188,435,73494,114,1118,1089,41100
91302,75K under 100K,900,507,78873,92,892,853,44869
91302,100K under 200K,1991,1448,283233,184,1826,1961,178277
91302,200K or more,2501,2187,2165978,122,1159,2491,1748421
91303,1 under 25K,5834,930,78410,589,4979,2267,12874
91303,25K under 50K,3148,934,111516,406,3877,2950,53163
91303,50K under 75K,1261,517,76730,134,1211,1249,48218
91303,75K under 100K,587,327,50666,91,867,586,34381
91303,100K under 200K,536,372,69530,78,650,535,49584
91303,200K or more,55,38,27491,0,0,55,23348
91304,1 under 25K,8858,1363,114165,901,7643,3805,21864
91304,25K under 50K,5335,1548,190510,673,7114,4973,91727
91304,50K under 75K,2567,1200,157610,321,3332,2522,92859
91304,75K under 100K,1602,1021,138499,233,2345,1591,87563
91304,100K under 200K,2360,1898,320511,295,2808,2357,215877
91304,200K or more,612,552,209430,47,467,611,161551
91306,1 under 25K,8550,1473,111941,991,8979,3539,20778
91306,25K under 50K,5199,1656,186447,689,6935,4843,86622
91306,50K under 75K,2603,1185,159404,358,3392,2584,93082
91306,75K under 100K,1543,1010,134044,229,2223,1540,84297
91306,100K under 200K,1654,1310,217365,233,2010,1652,148039
91306,200K or more,148,120,41090,0,0,143,30468
91307,1 under 25K,3595,569,41269,350,2995,1614,9578
91307,25K under 50K,1944,659,71045,292,3310,1724,33166
91307,50K under 75K,1536,710,95280,183,1973,1503,54737
91307,75K under 100K,1173,722,101825,149,1589,1164,63105
91307,100K under 200K,2212,1804,304136,273,2561,2205,203416
91307,200K or more,773,696,341426,52,529,769,271894
91311,1 under 25K,5635,864,69858,693,6478,2609,16416
91311,25K under 50K,3902,1000,142835,519,5794,3619,72828
91311,50K under 75K,2588,1084,159823,329,3452,2526,94844
91311,75K under 100K,1812,1083,156665,203,1895,1803,99241
91311,100K under 200K,2647,2055,362728,336,3066,2641,245191
91311,200K or more,838,715,452175,64,651,837,358877
91316,1 under 25K,4503,704,53413,470,4368,1975,11827
91316,25K under 50K,3048,735,111985,474,5111,2858,60357
91316,50K under 75K,1812,590,111954,217,1942,1777,69450
91316,75K under 100K,1208,593,104320,152,1426,1192,66612
91316,100K under 200K,1778,1211,247515,199,1813,1766,168171
91316,200K or more,1150,946,1010115,54,475,1145,842128
91320,1 under 25K,6045,815,71363,482,4252,2746,16113
91320,25K under 50K,3328,1029,120998,403,4695,3002,57892
91320,50K under 75K,2359,1090,146665,235,2632,2279,84601
91320,75K under 100K,2015,1340,175288,235,2312,1999,108600
91320,100K under 200K,4529,3775,633262,484,4645,4525,424597
91320,200K or more,1959,1790,679308,101,888,1955,519013
91321,1 under 25K,6324,977,82754,495,4174,2493,13931
91321,25K under 50K,3349,1115,119732,388,3956,3013,53811
91321,50K under 75K,1738,718,107519,213,1886,1713,63053
91321,75K under 100K,1074,638,93107,142,1082,1067,58820
91321,100K under 200K,1514,1231,204225,194,1569,1512,135262
91321,200K or more,438,383,202615,33,307,436,162396
91324,1 under 25K,4962,760,60448,448,3758,2144,12275
91324,25K under 50K,2840,805,102206,356,3595,2544,48932
91324,50K under 75K,1495,640,92138,172,1617,1467,54725
91324,75K under 100K,1029,606,89250,131,1295,1027,57553
91324,100K under 200K,1366,1045,184144,134,1134,1362,124532
91324,200K or more,434,368,199166,23,182,430,148794
91325,1 under 25K,5735,826,68780,562,4976,2497,14873
91325,25K under 50K,3258,948,117357,440,4713,2990,58034
91325,50K under 75K,1811,740,110926,213,2139,1776,67134
91325,75K under 100K,1206,662,103835,120,1090,1192,65634
91325,100K under 200K,1691,1294,231180,192,1811,1686,156355
91325,200K or more,556,472,226347,26,306,554,175924
91326,1 under 25K,4342,726,49809,360,3436,1957,11908
91326,25K under 50K,2568,867,94340,293,3301,2260,45133
91326,50K under 75K,1957,886,121607,199,2103,1882,68439
91326,75K under 100K,1534,978,133413,183,1863,1517,80163
91326,100K under 200K,3336,2700,468388,385,4000,3331,311139
91326,200K or more,1376,1225,483600,95,787,1370,362421
91331,1 under 25K,21245,3670,296464,2866,21550,8616,47086
91331,25K under 50K,11848,4097,417738,1784,16880,10798,172651
91331,50K under 75K,3982,2244,240500,587,5043,3960,133509
91331,75K under 100K,1445,1048,123261,223,1875,1444,75206
91331,100K under 200K,795,640,98568,103,906,794,66819
91331,200K or more,43,30,16764,0,0,43,13197
91335,1 under 25K,14826,2540,195041,1578,13077,6311,36678
91335,25K under 50K,8553,2867,305212,1147,11324,7905,139298
91335,50K under 75K,4005,1879,244074,484,4518,3974,144062
91335,75K under 100K,2146,1285,184444,314,2890,2140,118684
91335,100K under 200K,1851,1417,238217,282,2381,1847,163178
91335,200K or more,195,151,59010,21,175,194,46119
91340,1 under 25K,6903,1231,97189,1058,8410,2929,15942
91340,25K under 50K,4176,1358,148030,623,5671,3876,63111
91340,50K under 75K,1534,813,93277,277,2394,1523,52328
91340,75K under 100K,577,418,49419,84,687,577,30391
91340,100K under 200K,366,307,45748,45,412,365,30570
91340,200K or more,30,24,11777,0,0,30,9318
91342,1 under 25K,16516,2588,223573,2169,17788,6979,40808
91342,25K under 50K,10455,3276,374048,1621,15204,9669,166173
91342,50K under 75K,5087,2488,311521,760,6778,5043,173526
91342,75K under 100K,2715,1764,234561,418,3587,2711,142961
91342,100K under 200K,2674,2164,344307,338,2901,2671,226808
91342,200K or more,234,201,81924,0,0,234,61905
91343,1 under 25K,11037,1753,147582,1109,8830,4476,25639
91343,25K under 50K,5758,1808,203806,746,7451,5339,91927
91343,50K under 75K,2725,1274,166623,313,2746,2699,95887
91343,75K under 100K,1762,1115,151992,247,2297,1758,94630
91343,100K under 200K,2037,1611,268828,285,2379,2035,181023
91343,200K or more,228,195,76715,20,181,228,59597
91344,1 under 25K,8078,1277,98819,809,7505,3713,22441
91344,25K under 50K,5212,1575,189689,661,6983,4755,92015
91344,50K under 75K,3428,1561,212074,402,4145,3373,121611
91344,75K under 100K,2424,1555,209876,319,3161,2401,128236
91344,100K under 200K,3567,2884,482258,437,4015,3560,321673
91344,200K or more,820,706,358757,61,489,818,284385
91345,1 under 25K,3364,559,45321,488,4104,1573,9269
91345,25K under 50K,2270,664,81667,317,3241,2114,37602
91345,50K under 75K,1130,544,69279,139,1300,1126,39552
91345,75K under 100K,633,411,54387,94,813,633,33943
91345,100K under 200K,612,499,77862,92,699,612,52358
91345,200K or more,41,36,11554,0,0,41,8602
91350,1 under 25K,4313,487,50883,459,3920,2188,13325
91350,25K under 50K,2449,684,89829,363,3719,2239,43559
91350,50K under 75K,2112,974,131364,255,2240,2083,73204
91350,75K under 100K,1935,1295,169011,292,2489,1931,100576
91350,100K under 200K,3316,2908,447763,493,3956,3311,291068
91350,200K or more,530,488,166028,37,338,530,125837
91351,1 under 25K,5612,815,72259,597,4975,2509,14321
91351,25K under 50K,3403,1047,123200,493,5056,3185,57994
91351,50K under 75K,2060,1020,126994,295,2453,2045,72712
91351,75K under 100K,1455,932,125957,215,1854,1451,78112
91351,100K under 200K,1875,1592,246787,258,2080,1875,165489
91351,200K or more,197,181,58469,0,0,197,45379
91352,1 under 25K,9804,1679,131494,1185,9459,4014,22439
91352,25K under 50K,5551,1928,196164,745,7096,5148,86949
91352,50K under 75K,2135,1161,130080,310,2740,2115,73560
91352,75K under 100K,945,626,81195,116,902,944,50997
91352,100K under 200K,845,672,109106,113,1042,842,73641
91352,200K or more,142,116,82765,0,0,142,66679
91354,1 under 25K,2919,385,32535,249,2448,1400,8062
91354,25K under 50K,1741,535,64551,252,2898,1564,30823
91354,50K under 75K,1627,730,101914,218,2147,1598,56335
91354,75K under 100K,1574,981,137565,215,2027,1564,81336
91354,100K under 200K,3360,2829,463476,465,3990,3352,300403
91354,200K or more,809,746,255357,58,535,808,193432
91355,1 under 25K,4048,457,46735,370,3374,1947,11619
91355,25K under 50K,2605,727,96473,361,3927,2405,49227
91355,50K under 75K,2366,930,147355,277,2676,2340,87858
91355,75K under 100K,1907,1033,165729,256,2210,1898,105199
91355,100K under 200K,3089,2456,424373,363,3066,3086,288327
91355,200K or more,873,759,339288,58,603,871,259644
91356,1 under 25K,4651,709,54671,463,4294,2016,11989
91356,25K under 50K,2794,763,102002,354,3921,2509,51482
91356,50K under 75K,1755,616,108211,185,1942,1672,62532
91356,75K under 100K,1207,566,104356,127,1202,1188,66192
91356,100K under 200K,1728,1197,241411,172,1568,1711,158270
91356,200K or more,1419,1219,814755,70,606,1413,603882
91360,1 under 25K,6510,1018,78259,482,4310,2827,16629
91360,25K under 50K,3831,1148,138726,453,4618,3439,66590
91360,50K under 75K,2469,1153,153060,255,2327,2406,90466
91360,75K under 100K,2007,1269,174651,214,2189,1996,111150
91360,100K under 200K,3639,3035,502252,422,4273,3634,341979
91360,200K or more,1115,964,398572,84,729,1110,307721
91361,1 under 25K,2743,305,29333,185,2039,1238,7390
91361,25K under 50K,1525,402,55358,179,2202,1329,27311
91361,50K under 75K,1158,424,71858,116,1262,1093,41637
91361,75K under 100K,970,545,84405,84,950,953,52284
91361,100K under 200K,1916,1418,271133,185,1990,1904,181541
91361,200K or more,1724,1481,1004949,85,700,1718,793120
91362,1 under 25K,5237,642,59486,377,3558,2251,13339
91362,25K under 50K,2874,778,103998,356,4169,2528,49360
91362,50K under 75K,2041,820,126231,230,2366,1964,73517
91362,75K under 100K,1570,956,136866,190,1895,1547,82646
91362,100K under 200K,3338,2610,474438,371,3852,3319,313551
91362,200K or more,2354,2080,1330993,157,1404,2339,1020385
91364,1 under 25K,3818,535,42132,349,3527,1590,9601
91364,25K under 50K,2262,596,82913,356,4289,2006,41298
91364,50K under 75K,1591,572,98687,186,2099,1512,55727
91364,75K under 100K,1290,658,111799,146,1478,1266,67923
91364,100K under 200K,2468,1776,345365,362,3243,2453,229509
91364,200K or more,1429,1125,1015248,97,832,1427,814574
91367,1 under 25K,5775,857,68860,565,5595,2633,16424
91367,25K under 50K,3845,995,141507,530,5868,3499,73188
91367,50K under 75K,3070,1054,189746,309,3076,3005,116947
91367,75K under 100K,2173,1118,187693,238,2277,2153,120980
91367,100K under 200K,3285,2273,447772,390,3743,3267,309329
91367,200K or more,1276,978,657667,85,754,1274,526224
91377,1 under 25K,1787,157,18213,116,1153,858,4865
91377,25K under 50K,948,235,35122,122,1356,824,17387
91377,50K under 75K,806,291,50535,93,978,778,29589
91377,75K under 100K,652,349,56288,90,983,645,34897
91377,100K under 200K,1451,1125,205016,170,1556,1444,136403
91377,200K or more,889,804,320459,48,445,889,246331
91381,1 under 25K,1990,307,22060,182,1644,854,4999
91381,25K under 50K,1162,370,43037,182,2165,1024,20425
91381,50K under 75K,978,416,61047,106,1103,935,32295
91381,75K under 100K,872,469,75847,109,1090,857,43720
91381,100K under 200K,1963,1624,277042,238,2044,1959,172900
91381,200K or more,1015,938,405957,62,500,1012,299930
91384,1 under 25K,3010,372,35498,323,2622,1405,8262
91384,25K under 50K,1723,548,62801,260,2904,1574,29550
91384,50K under 75K,1260,632,78586,201,1797,1243,43248
91384,75K under 100K,1133,800,98507,179,1482,1130,56057
91384,100K under 200K,2170,1879,292885,297,2244,2169,187736
91384,200K or more,356,328,112234,33,279,356,85608
91387,1 under 25K,5896,703,75223,675,5742,2808,17007
91387,25K under 50K,3599,974,130132,532,5525,3350,62853
91387,50K under 75K,2455,1103,151808,313,2734,2412,87226
91387,75K under 100K,1865,1190,161956,253,2143,1857,97922
91387,100K under 200K,2922,2431,396591,403,3517,2911,258034
91387,200K or more,673,616,297885,52,411,671,232506
91390,1 under 25K,2418,302,26519,225,1996,1115,6701
91390,25K under 50K,1149,400,41881,187,1892,998,18620
91390,50K under 75K,996,504,62288,140,1369,959,33349
91390,75K under 100K,865,582,75427,132,1131,861,43288
91390,100K under 200K,2102,1830,294039,288,2399,2100,186387
91390,200K or more,577,540,172037,36,262,577,127244
91401,1 under 25K,8176,1302,104889,972,8337,3508,21227
91401,25K under 50K,4339,1170,153731,600,5857,4045,76932
91401,50K under 75K,2113,772,130608,248,2210,2081,77074
91401,75K under 100K,1099,502,94685,154,1461,1091,61971
91401,100K under 200K,1466,971,200435,248,2341,1463,138309
91401,200K or more,458,363,180717,40,358,457,139005
91402,1 under 25K,14239,2316,193470,1438,10768,5592,30335
91402,25K under 50K,7041,2520,247160,904,8311,6535,106084
91402,50K under 75K,2385,1314,144646,309,2555,2373,82099
91402,75K under 100K,1003,690,85965,141,1379,1002,53907
91402,100K under 200K,720,549,90846,84,821,719,61234
91402,200K or more,59,41,15878,0,0,59,11495
91403,1 under 25K,4011,411,47972,499,4869,1959,13009
91403,25K under 50K,2815,481,103979,461,4821,2644,60159
91403,50K under 75K,1903,503,117822,220,1974,1859,77830
91403,75K under 100K,1228,433,106079,162,1470,1208,71992
91403,100K under 200K,1882,1130,262952,240,2150,1867,180200
91403,200K or more,1459,1046,1062657,104,911,1455,862361
91405,1 under 25K,11375,1832,151167,1213,9250,4487,25547
91405,25K under 50K,5670,1732,199618,754,6820,5324,93859
91405,50K under 75K,1922,876,116684,230,2132,1910,70907
91405,75K under 100K,831,517,71688,110,979,829,45944
91405,100K under 200K,775,536,99520,144,1348,773,68322
91405,200K or more,95,70,31088,0,0,94,22680
91406,1 under 25K,10392,1631,137849,1193,9757,4399,26168
91406,25K under 50K,5964,1749,213640,781,8077,5552,102041
91406,50K under 75K,2724,1136,166786,371,3305,2703,100859
91406,75K under 100K,1449,808,125018,219,2020,1444,80951
91406,100K under 200K,1553,1144,203036,261,2073,1550,140246
91406,200K or more,229,167,110501,26,254,228,88217
91411,1 under 25K,4715,691,61500,578,5058,1993,11741
91411,25K under 50K,2594,667,92628,373,3501,2449,47071
91411,50K under 75K,1303,423,80551,165,1494,1291,49555
91411,75K under 100K,669,302,57409,104,930,666,38626
91411,100K under 200K,729,462,98753,128,1148,726,69049
91411,200K or more,192,150,65161,0,0,192,49968
91423,1 under 25K,5374,527,65753,676,6607,2694,18937
91423,25K under 50K,3763,593,136351,594,6407,3558,79548
91423,50K under 75K,2382,617,146877,331,3175,2310,97583
91423,75K under 100K,1498,590,129394,225,2248,1482,88183
91423,100K under 200K,2268,1314,313491,306,2779,2256,217090
91423,200K or more,1462,1096,757083,127,1099,1459,597972
91436,1 under 25K,2145,248,21683,123,1239,927,5334
91436,25K under 50K,1209,282,44773,114,1251,1036,22948
91436,50K under 75K,848,258,52661,63,818,769,28835
91436,75K under 100K,674,320,58670,55,613,639,34612
91436,100K under 200K,1605,1005,229494,153,1582,1578,148634
91436,200K or more,2404,1802,2877533,110,926,2397,2326405
91501,1 under 25K,3515,687,43414,375,3634,1587,10236
91501,25K under 50K,2274,661,82621,335,3684,2161,44638
91501,50K under 75K,1468,570,90284,203,1774,1449,58049
91501,75K under 100K,878,477,75872,115,966,871,50540
91501,100K under 200K,1109,781,149423,148,1278,1108,102978
91501,200K or more,297,243,126288,0,0,297,98319
91502,1 under 25K,2337,357,29795,281,2511,1121,6989
91502,25K under 50K,1546,371,55390,219,2284,1485,30284
91502,50K under 75K,730,218,44055,104,865,728,29896
91502,75K under 100K,362,169,30984,47,384,361,21711
91502,100K under 200K,301,180,39366,46,393,300,28664
91502,200K or more,62,40,30962,0,0,61,23407
91504,1 under 25K,4089,626,50956,467,4223,1961,12264
91504,25K under 50K,3015,852,110249,413,4191,2640,54067
91504,50K under 75K,1703,683,105416,185,1815,1681,65312
91504,75K under 100K,1135,682,98380,143,1391,1129,63693
91504,100K under 200K,1640,1221,224799,216,1838,1638,153140
91504,200K or more,496,415,224170,33,221,494,164979
91505,1 under 25K,5139,559,63836,669,6291,2639,16875
91505,25K under 50K,3870,788,141692,625,6169,3685,79799
91505,50K under 75K,2622,886,162060,396,3662,2592,104821
91505,75K under 100K,1823,873,157300,274,2447,1820,106452
91505,100K under 200K,2384,1686,319388,466,3518,2380,222233
91505,200K or more,505,391,291560,67,510,503,235260
91506,1 under 25K,3041,380,37756,394,3683,1536,9368
91506,25K under 50K,2276,532,83140,356,4011,2144,44783
91506,50K under 75K,1480,506,91407,199,1755,1469,57997
91506,75K under 100K,910,472,78808,160,1462,908,51985
91506,100K under 200K,1416,1050,191451,266,2087,1415,132393
91506,200K or more,327,265,103861,43,320,327,79913
91601,1 under 25K,8445,940,111040,1227,10204,4154,27487
91601,25K under 50K,5138,1013,184323,852,7913,4822,100321
91601,50K under 75K,2273,590,138685,331,2777,2253,94807
91601,75K under 100K,1082,424,93418,177,1454,1078,66391
91601,100K under 200K,1045,580,139851,199,1465,1044,100769
91601,200K or more,208,142,80379,23,114,208,63688
91602,1 under 25K,3430,212,43608,579,5607,1911,13055
91602,25K under 50K,2736,329,101667,560,5551,2654,62809
91602,50K under 75K,1626,344,99455,272,2565,1604,68136
91602,75K under 100K,1004,303,87185,225,1785,1000,61327
91602,100K under 200K,1223,611,165826,251,1976,1221,117908
91602,200K or more,589,399,264303,54,425,588,206082
91604,1 under 25K,4497,386,53372,576,5897,2251,14845
91604,25K under 50K,3116,466,114829,608,6131,2918,66760
91604,50K under 75K,2198,498,136220,324,3066,2139,88491
91604,75K under 100K,1573,530,136474,240,2151,1545,91038
91604,100K under 200K,2530,1341,352136,379,3253,2513,242407
91604,200K or more,1703,1295,815276,145,1261,1698,630706
91605,1 under 25K,12525,2208,167962,1472,11292,5168,29327
91605,25K under 50K,6090,2056,213490,763,7193,5610,95330
91605,50K under 75K,2172,1079,132380,298,2580,2162,77295
91605,75K under 100K,966,641,82886,134,1145,963,52261
91605,100K under 200K,830,641,107949,113,974,830,74368
91605,200K or more,77,61,31667,0,0,77,23526
91606,1 under 25K,9863,1637,131932,1195,9648,4293,25726
91606,25K under 50K,5427,1634,192944,742,7058,5108,93135
91606,50K under 75K,2041,912,123541,291,2477,2027,75326
91606,75K under 100K,925,480,79692,136,974,922,52686
91606,100K under 200K,760,504,98275,128,952,759,68408
91606,200K or more,88,69,26187,0,0,88,19725
91607,1 under 25K,5571,638,69192,783,7010,2757,18065
91607,25K under 50K,3577,675,129960,670,6590,3390,73463
91607,50K under 75K,2026,653,124215,297,2473,1997,81045
91607,75K under 100K,1094,460,94781,171,1503,1088,63859
91607,100K under 200K,1508,945,204587,275,2597,1503,141530
91607,200K or more,548,423,212401,68,532,548,161431
91701,1 under 25K,6068,792,73763,782,6770,3021,18084
91701,25K under 50K,3692,1144,134624,558,5842,3424,64386
91701,50K under 75K,2696,1320,167527,389,3908,2663,95300
91701,75K under 100K,2057,1443,178087,272,2763,2048,107781
91701,100K under 200K,3269,2818,440920,326,3041,3261,294206
91701,200K or more,471,429,144285,30,232,468,105977
91702,1 under 25K,11258,1708,152176,1510,11102,4787,26952
91702,25K under 50K,6385,2207,227956,1016,10015,5935,100135
91702,50K under 75K,3010,1604,183825,447,3405,3000,104043
91702,75K under 100K,1495,1016,128198,199,1764,1492,79760
91702,100K under 200K,1296,1053,165880,177,1570,1296,110551
91702,200K or more,151,136,44636,0,0,151,32393
91706,1 under 25K,15970,2970,220168,2174,16984,6601,36128
91706,25K under 50K,9270,3414,328774,1393,13198,8583,137947
91706,50K under 75K,3697,2139,223662,551,4549,3676,123766
91706,75K under 100K,1305,937,111720,176,1523,1304,68820
91706,100K under 200K,833,666,104235,102,816,832,70375
91706,200K or more,53,36,23209,0,0,53,17922
91708,1 under 25K,814,111,10552,133,1222,381,2425
91708,25K under 50K,669,194,24537,97,1157,598,11183
91708,50K under 75K,428,170,26473,56,524,421,14039
91708,75K under 100K,362,215,31494,52,448,361,17860
91708,100K under 200K,521,434,69131,56,478,520,42959
91708,200K or more,67,52,21481,0,0,66,15691
91709,1 under 25K,9870,1440,116203,1078,9992,4637,27518
91709,25K under 50K,5783,2020,212951,936,10921,5247,99151
91709,50K under 75K,4467,2160,278004,582,6055,4373,156569
91709,75K under 100K,3712,2509,323250,487,5366,3695,192843
91709,100K under 200K,7007,6084,960611,791,7999,6994,623627
91709,200K or more,1515,1408,571118,98,860,1510,424303
91710,1 under 25K,12412,1898,162178,1736,13877,5606,32475
91710,25K under 50K,7596,2552,273711,1254,13324,6980,124206
91710,50K under 75K,4350,2296,268066,673,6184,4311,150322
91710,75K under 100K,2903,2096,251273,472,4758,2892,152370
