Zip Code,Tax Returns,AGI thousands
91604,15617.00,1608307.00
91605,22660.00,736334.00
91606,19104.00,652571.00
91607,14324.00,835136.00
91701,18253.00,1139206.00
91702,23595.00,902671.00
91706,31128.00,1011768.00
91708,2861.00,183668.00
91709,32354.00,2462137.00
91710,30916.00,1506983.00
91711,15344.00,1340001.00
91722,15940.00,707828.00
91723,8038.00,366269.00
91724,11650.00,703898.00
91730,28320.00,1399888.00
91731,11439.00,370462.00
91732,23846.00,730227.00
91733,17040.00,495054.00
91737,10776.00,861806.00
91739,14030.00,1068628.00
91740,11594.00,643317.00
91741,11886.00,993491.00
91744,34105.00,1124988.00
91745,24314.00,1378667.00
91746,12631.00,439528.00
91748,20437.00,1009025.00
91750,15703.00,1103741.00
91752,11881.00,524433.00
91754,16498.00,815335.00
91755,12421.00,507980.00
91761,24253.00,1037310.00
91762,24018.00,872806.00
91763,15225.00,536023.00
91764,21627.00,730262.00
91765,21579.00,1632902.00
91766,26635.00,936109.00
91767,19022.00,687123.00
91768,12399.00,435751.00
91770,27139.00,1061481.00
91773,15899.00,1058428.00
91775,10667.00,713469.00
91776,17564.00,630854.00
91780,16137.00,829085.00
91784,12154.00,1085392.00
91786,21900.00,971703.00
91789,19623.00,1386154.00
91790,19089.00,867328.00
91791,14323.00,876342.00
91792,13333.00,612499.00
91801,23876.00,1054172.00
91803,13812.00,582988.00
91901,6754.00,526905.00
91902,8400.00,615917.00
91905,591.00,26259.00
91906,1292.00,61149.00
91910,33998.00,1611709.00
91911,36723.00,1416028.00
91913,16555.00,1071095.00
91914,6159.00,554129.00
91915,10029.00,705799.00
91916,869.00,55888.00
91917,389.00,15219.00
91932,11440.00,430955.00
91934,272.00,8584.00
91935,4067.00,336891.00
91941,14841.00,1010425.00
91942,18295.00,904339.00
91945,11139.00,464306.00
91950,23331.00,741939.00
91962,898.00,57242.00
91963,542.00,17096.00
91977,25088.00,1102758.00
91978,4157.00,208488.00
91980,980.00,23523.00
92003,2574.00,179246.00
92004,1399.00,61672.00
92007,5864.00,573775.00
92008,13511.00,995461.00
92009,18560.00,2095139.00
92010,6737.00,495599.00
92011,10232.00,1084381.00
92014,7291.00,1374584.00
92019,18847.00,1231675.00
92020,23107.00,1117501.00
92021,27636.00,1245759.00
92024,23923.00,2477506.00
92025,18640.00,957102.00
92026,21309.00,1170914.00
92027,22364.00,1041233.00
92028,19500.00,1180168.00
92029,8584.00,705356.00
92036,1582.00,81492.00
92037,18408.00,3353974.00
92040,18434.00,998413.00
92054,17664.00,792961.00
92056,24542.00,1315334.00
92057,24173.00,1256692.00
92058,15259.00,590724.00
92059,739.00,80031.00
92061,1334.00,103731.00
92064,21371.00,2050869.00
92065,15648.00,1020068.00
92066,122.00,7252.00
92069,18668.00,943767.00
92070,555.00,22740.00
92071,24116.00,1372288.00
92075,6641.00,787424.00
92078,17841.00,1258056.00
92081,12644.00,731257.00
92082,8273.00,538037.00
92083,15191.00,535405.00
92084,19627.00,940099.00
92086,563.00,26137.00
92091,521.00,159082.00
92101,18177.00,1396608.00
92102,18186.00,589553.00
92103,18951.00,1441733.00
92104,23543.00,1041585.00
92105,26270.00,750311.00
92106,9091.00,885389.00
92107,14874.00,957401.00
92108,11103.00,624763.00
92109,25099.00,1471882.00
92110,12044.00,693664.00
92111,21021.00,1010719.00
92113,18240.00,471171.00
92114,28153.00,1089093.00
92115,23719.00,1035793.00
92116,18000.00,913981.00
92117,25633.00,1416716.00
92118,7846.00,815246.00
92119,11406.00,722452.00
92120,13577.00,956061.00
92121,2314.00,296516.00
92122,18717.00,1423055.00
92123,13242.00,791299.00
92124,12763.00,884542.00
92126,33074.00,1832812.00
92127,15891.00,1887938.00
92128,22331.00,1836521.00
92129,22802.00,1910732.00
92130,20425.00,3295764.00
92131,15349.00,1791686.00
92139,15624.00,665089.00
92154,36256.00,1445658.00
92173,19660.00,531524.00
92201,22431.00,805827.00
92203,9841.00,594928.00
92210,1858.00,377652.00
92211,11038.00,730219.00
92220,12472.00,559818.00
92223,17752.00,964012.00
92225,5356.00,216343.00
92227,9610.00,429486.00
92230,910.00,26429.00
92231,23982.00,610219.00
92233,1350.00,51700.00
92234,20034.00,739817.00
92236,18606.00,491535.00
92240,13566.00,389233.00
92241,2425.00,79354.00
92242,444.00,15142.00
92243,17960.00,723845.00
92249,2968.00,98575.00
92250,3235.00,143634.00
92251,6625.00,361044.00
92252,3490.00,126991.00
92253,14549.00,1113640.00
92254,8769.00,196462.00
92256,1448.00,58394.00
92257,581.00,16173.00
92260,13096.00,743495.00
92262,11685.00,558155.00
92264,8901.00,485910.00
92270,7723.00,810171.00
92274,9945.00,255251.00
92276,2979.00,100345.00
92277,8703.00,332926.00
92281,933.00,30155.00
92282,305.00,10316.00
92283,1144.00,34431.00
92284,8766.00,356435.00
92285,685.00,19430.00
92301,10629.00,314133.00
92305,263.00,13868.00
92307,15179.00,734985.00
92308,14484.00,645199.00
92309,323.00,8010.00
92310,2890.00,106910.00
92311,11313.00,459146.00
92313,5390.00,281269.00
92314,3338.00,142162.00
92315,3487.00,170048.00
92316,11919.00,382468.00
92320,3384.00,159817.00
92324,22721.00,811581.00
92327,222.00,8985.00
92328,223.00,7520.00
92335,35859.00,1051696.00
92336,35466.00,1788988.00
92337,14958.00,657980.00
92339,442.00,25962.00
92342,2610.00,143061.00
92344,7564.00,392156.00
92345,27825.00,1020245.00
92346,22473.00,1277254.00
