Zip Code,Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years)
94928,43170,20731,22439,31.1,30.7,31.7
94929,264,129,135,58.3,58.5,57.8
94930,8500,4144,4356,46.1,45.6,46.5
94931,8470,4056,4414,37.8,36.2,39.1
94933,865,422,443,48.5,48.9,47.9
94937,837,385,452,54.7,54.8,54.5
94938,812,399,413,48.3,47.9,48.5
94939,6859,3182,3677,46.5,45.6,47.2
94940,268,138,130,54,49.5,55
94941,30496,14417,16079,45.5,45.2,45.8
94945,17167,8447,8720,44.7,43.3,45.9
94946,699,365,334,47.7,47.1,48.4
94947,24283,11659,12624,44.1,42.6,45.3
94949,17202,8291,8911,41.7,39.4,43.7
94950,89,46,43,51.5,53,50.8
94951,4124,2072,2052,45.2,45.1,45.4
94952,32858,16353,16505,42.1,40.4,44
94954,37365,18336,19029,39.4,37.6,41
94956,1756,801,955,51.1,49.4,52.7
94957,1332,639,693,46.4,46.6,46.1
94960,15740,7399,8341,45.3,44.9,45.7
94963,569,275,294,51.4,52.8,49.9
94964,5094,4970,124,40.8,40.8,44
94965,10847,5113,5734,47.9,47.7,48
94970,683,336,347,55.4,55.8,54.6
94971,337,156,181,49.8,49.2,50.3
94972,52,30,22,30.8,31,30.7
94973,1429,690,739,50.4,49.9,51.1
95002,2077,1060,1017,35.4,34.5,36.5
95003,23974,11609,12365,46.2,45.4,47
95004,3918,1963,1955,43.8,43.3,44.2
95005,6311,3202,3109,43.7,43,44.7
95006,8979,4662,4317,46,45.9,46.1
95007,676,350,326,40.6,40.3,41.2
95008,45260,22235,23025,38.5,37.4,39.6
95010,9137,4319,4818,42.2,39.4,45
95012,10320,5264,5056,27.8,27.3,28.4
95013,80,46,34,38.6,40.5,35
95014,60717,30006,30711,39.5,39.2,39.8
95017,834,459,375,43.4,43.5,43.4
95018,7778,3907,3871,43.5,43.2,43.8
95019,7727,3842,3885,28.3,27.5,29.2
95020,57349,28607,28742,33.3,32.6,33.9
95023,48841,24428,24413,33.4,32.3,34.3
95030,12791,6189,6602,48.1,47.9,48.2
95032,25089,12107,12982,43.7,42.6,44.5
95033,9372,4843,4529,46.7,47.2,46.3
95035,66943,34220,32723,36.1,35.4,36.9
95037,45579,22688,22891,38,37,38.9
95039,1377,708,669,35.6,35.3,35.9
95041,160,74,86,36,37,35.5
95043,639,321,318,48.4,48.5,48.3
95045,4046,2005,2041,40.7,40.9,40.5
95046,6417,3258,3159,38.7,39,38.5
95050,35923,18083,17840,33.9,33,34.9
95051,54327,27294,27033,35.9,35.6,36.4
95053,2206,1027,1179,19.7,19.7,19.6
95054,23364,12068,11296,32.9,33.1,32.7
95060,46377,23805,22572,34.7,34.2,35.3
95062,36079,17816,18263,38.5,36.9,40.2
95064,7331,3409,3922,19.7,19.7,19.6
95065,8113,3975,4138,42.9,41.9,44.2
95066,14749,7251,7498,42.4,41.5,43.4
95070,30617,14984,15633,47.8,47.5,48
95073,10154,4982,5172,45,43.2,46.4
95075,331,177,154,43.7,43.5,44
95076,82474,41745,40729,31.1,30.2,32.3
95110,18730,10739,7991,31.7,32,31.3
95111,58466,29503,28963,31.8,31.2,32.4
95112,55927,30066,25861,30.4,30.5,30.1
95113,893,474,419,38,35.6,43.5
95116,51496,26326,25170,30.8,30.2,31.4
95117,30067,15205,14862,33.6,32.6,34.6
95118,31932,15675,16257,37.4,36.3,38.4
95119,9970,5024,4946,36.8,36.2,37.5
95120,37457,18609,18848,44.4,44.2,44.5
95121,37469,18692,18777,35.3,34.2,36.3
95122,56545,29089,27456,30.1,29.6,30.8
95123,62228,30603,31625,35.9,34.9,36.9
95124,47082,23336,23746,39.7,39,40.3
95125,51939,25128,26811,39.9,38.9,40.7
95126,31049,15733,15316,33.3,33,33.6
95127,61325,31309,30016,32.9,31.8,34.1
95128,34836,17398,17438,35.1,34.7,35.6
95129,38720,19031,19689,39.4,38.6,40.1
95130,13911,6935,6976,38.2,37.8,38.7
95131,28565,14352,14213,35.8,35.3,36.2
95132,40299,20147,20152,38.3,37.3,39.4
95133,25401,12512,12889,36.1,35.3,36.9
95134,15268,7940,7328,31.9,32.5,31.2
