Zip Code,Pills
95037,5836920
93305,5823910
91741,5814580
92833,5791140
94112,5738220
92501,5731950
95616,5717600
92860,5715850
91977,5704890
93631,5704300
90808,5694490
90028,5686130
90805,5685970
95492,5674490
94521,5669690
95662,5665245
95363,5618790
95762,5614750
95841,5612100
90603,5602220
90069,5599310
91331,5588602
94561,5586050
93405,5584280
95126,5582120
93560,5559430
92084,5534720
96013,5517870
90034,5514410
96067,5498400
93240,5466550
90303,5461324
92865,5450090
95066,5440700
90210,5431568
92555,5420940
91801,5391430
92843,5386815
95357,5378830
90024,5365340
92078,5364659
91107,5353550
91340,5349895
91945,5347690
96161,5344550
90046,5335355
90403,5325100
92109,5306290
94117,5290250
90745,5285190
95828,5279270
95948,5278980
91902,5276990
93933,5242630
92058,5237420
92131,5236244
92108,5228265
93402,5209430
91361,5191690
93654,5183250
92113,5177220
93514,5173500
95050,5172754
93657,5155210
94401,5151800
91411,5151380
94536,5140410
94010,5132352
92867,5111320
95842,5093944
90813,5078795
93550,5038450
95632,5034330
91007,5024462
94122,5024310
95404,5022055
93706,5010035
94025,5005810
91723,4998980
91206,4994002
91764,4993900
92057,4987860
90016,4986730
91604,4979988
95954,4977160
95252,4973900
92656,4964875
95348,4929365
93505,4901780
93905,4900070
94044,4885640
92019,4880020
91722,4851510
90717,4851102
91302,4851000
92371,4850150
95726,4788930
92845,4756280
91803,4750650
92119,4727010
94612,4715026
90230,4698280
91762,4695340
90201,4691615
96101,4687440
93212,4684420
91750,4657240
95377,4655520
92508,4647190
93221,4647100
95988,4616520
90266,4603078
93041,4598090
91010,4588020
90240,4576220
94960,4569750
91106,4555020
96019,4538700
94526,4527540
90262,4514585
94403,4494635
90278,4494080
94402,4482500
90280,4477820
91607,4475799
91301,4462474
91506,4419830
93610,4417290
90680,4416280
90006,4413801
94019,4407580
90291,4381430
91765,4376485
95249,4373170
92629,4371652
92105,4358520
92570,4355350
95122,4344300
93923,4333857
93021,4304030
90022,4302989
95932,4258180
91606,4251953
91744,4248800
92802,4238360
90260,4225350
94519,4223760
91105,4218926
91104,4197670
95971,4197510
94061,4190900
90723,4152354
90623,4144070
92688,4140320
92532,4124785
93111,4099016
95407,4093730
95448,4089380
95223,4081840
92651,4073275
92887,4071390
91030,4067580
95222,4025390
95125,3996550
93449,3983024
94301,3982830
95618,3977920
92637,3976671
95746,3973770
96073,3966970
91748,3966842
94803,3958760
91345,3953890
95602,3951470
94568,3945710
94931,3901160
91006,3900290
91901,3899840
95620,3885380
94306,3866090
93210,3858500
95446,3856620
92706,3852614
91387,3839570
93012,3838000
92832,3831300
90049,3827975
95341,3809550
92881,3798065
90255,3795350
92264,3792770
95354,3777250
90095,3773480
94551,3751920
90220,3747280
91303,3734840
92129,3734555
92352,3732840
95129,3731910
90041,3702140
91362,3681510
91502,3670190
91352,3657120
91768,3654630
90744,3654250
95838,3647640
93013,3647310
94534,3630120
95425,3627650
91763,3609740
90803,3602930
95202,3593280
91311,3590800
92011,3572880
95338,3570000
92277,3563390
94123,3552960
90272,3549740
95665,3536220
93004,3523305
92831,3522890
91101,3492795
90023,3472860
91306,3463700
94605,3462280
90605,3458330
94621,3451637
90047,3446820
90601,3445100
95366,3438530
92124,3434900
92231,3428660
90670,3425900
95018,3402090
94124,3395400
91042,3323770
94304,3301860
92701,3290906
95206,3283230
93442,3282996
90017,3275732
90265,3269930
93728,3259860
90057,3242944
95127,3240900
91770,3238040
92694,3229950
90701,3226490
91406,3195512
91326,3192697
92317,3182090
95203,3180430
95320,3180380
94947,3176168
94404,3161414
94014,3161400
93950,3125730
90066,3124229
92081,3117992
94904,3117620
92102,3114180
91791,3112623
90008,3107780
92782,3095250
90026,3078000
92610,3074700
90020,3056870
92672,3047554
95829,3046818
91205,2994830
90405,2992800
92252,2979980
91204,2972565
91932,2963400
95864,2956960
95148,2955420
90039,2947250
90038,2940432
90245,2935530
96020,2917140
94597,2899860
90212,2894500
94517,2889030
92130,2878065
94547,2875520
92075,2871660
94121,2851360
95542,2849080
95014,2830820
95776,2828040
94602,2814300
94030,2798800
95326,2776810
94607,2772030
95953,2764700
90274,2745855
91915,2741240
91601,2734620
93458,2732650
91766,2730468
94585,2722380
95650,2719220
95030,2714480
91732,2712090
91103,2692200
93630,2692170
92122,2690210
92337,2668840
90059,2664210
93103,2648700
93501,2639330
95383,2635700
95116,2611860
95112,2586660
92118,2584880
90015,2566390
95386,2548340
93638,2539000
95565,2534780
90042,2534180
92236,2532805
94555,2530030
93015,2517540
90509,2506700
90044,2495760
94571,2491100
96022,2483580
90248,2482780
92116,2470580
91737,2462990
93702,2459330
90064,2456265
92551,2450420
92127,2449660
93001,2447260
90019,2427830
92602,2424610
95121,2421480
94116,2414480
95132,2409900
95324,2403450
95546,2403040
93110,2395770
95360,2388820
93263,2378620
95133,2369800
91202,2367015
91384,2359160
94132,2358990
95947,2353780
93930,2352850
95573,2349350
94539,2332680
90606,2325940
94574,2320090
96055,2319420
94503,2319330
94127,2316830
91724,2313770
92805,2287972
94134,2286670
92301,2282600
91752,2277880
92107,2272450
94506,2272290
90037,2265805
92014,2262550
90502,2258000
94704,2254140
94549,2250185
94705,2249540
95321,2247790
92313,2242870
92808,2227720
95212,2226240
92394,2223230
91001,2222530
90401,2209200
92363,2188620
94062,2184970
94560,2180960
90232,2177530
93109,2174620
94949,2162100
95818,2144830
95458,2143220
90254,2137110
93225,2129520
92844,2125810
93108,2125640
90061,2109620
95006,2105230
92590,2104398
91602,2094304
91020,2069125
91780,2065100
90004,2065060
95120,2065050
91214,2060517
95692,2051690
91792,2049910
94709,2038710
95640,2031180
94002,2024435
93428,2021120
93651,2008520
94507,2006640
90249,2001280
94606,1994850
93463,1975910
91731,1965975
93427,1949900
93960,1943930
93704,1938466
92707,1934160
92029,1920730
93307,1918700
94022,1908630
94563,1898475
95330,1886990
96094,1872750
93280,1851740
95111,1850190
90012,1842450
95138,1834080
94595,1826220
94706,1812670
95315,1791760
90504,1791214
92841,1774312
94133,1738460
94702,1726700
94505,1706830
91201,1689000
91011,1685630
93247,1683100
93546,1682880
95742,1678400
92106,1673480
92663,1671118
94703,1670480
93650,1661100
95814,1659690
94086,1653260
92320,1633620
92866,1631660
94043,1625200
90013,1624300
93927,1620390
94556,1606210
94610,1605380
90002,1598800
95304,1586490
92325,1578140
92703,1576610
90067,1575750
96122,1573000
94502,1559635
95209,1555620
91208,1554300
91343,1552805
90029,1551300
94939,1544500
95136,1540990
90043,1536870
92549,1535200
93286,1533200
92377,1532660
93721,1532324
92596,1518560
90755,1515890
94599,1501860
93620,1498120
91784,1488930
95073,1482930
91040,1476620
92210,1469450
92539,1453600
95237,1446960
94580,1442500
94107,1434183
90621,1418610
96143,1408230
92612,1403390
95722,1403170
92606,1396345
92883,1394950
94710,1393000
95461,1378690
90071,1369700
91381,1367710
90011,1362350
94024,1349730
95451,1339630
95219,1331735
95247,1325540
93433,1323300
90031,1316690
94965,1310500
94131,1296210
95946,1286630
93701,1283050
