Zip Code,Population Density
92562,568
92563,2650
92567,321
92570,552
92571,2328
92582,846
92583,1063
92584,1457
92585,877
92586,2806
92587,2110
92590,68
92591,2324
92592,746
92595,1418
92596,379
92602,2190
92603,1523
92604,7960
92606,4434
92610,1147
92612,4526
92614,5599
92617,5841
92618,773
92620,5466
92624,5277
92625,4888
92626,5128
92627,9688
92629,5056
92630,6214
92637,4570
92646,6863
92647,7387
92648,5645
92649,4244
92651,1227
92653,4374
92655,13220
92656,5961
92657,1321
92660,3566
92661,5749
92662,13233
92663,6557
92672,4330
92673,2509
92675,1008
92676,29
92677,3791
92678,33
92679,1442
92683,8975
92688,4018
92691,5404
92692,4793
92694,2311
92701,16486
92703,16036
92704,11919
92705,3868
92706,10698
92707,11832
92708,6181
92780,8258
92782,6848
92801,9872
92802,9397
92804,12265
92805,11167
92806,4810
92807,3376
92808,3943
92821,3372
92823,332
92831,5724
92832,8796
92833,7087
92835,3985
92840,10397
92841,7330
92843,11574
92844,11433
92845,7463
92860,1946
92861,2719
92865,5384
92866,7705
92867,5608
92868,7857
92869,4001
92870,7661
92879,4653
92880,2380
92881,1120
92882,2638
92883,526
92886,3162
92887,2226
93001,161
93003,2453
93004,4245
93010,1938
93012,661
93013,283
93015,226
93021,771
93022,1322
93023,76
93030,4282
93033,2821
93035,6748
93036,2624
93040,29
93041,2103
93042,2
93043,691
93060,276
93063,1650
93064,7
93065,2291
93066,75
93067,1519
93101,9237
93103,3866
93105,256
93108,524
93109,3210
93110,1596
93111,2142
93117,313
93201,17
93202,5342
93203,98
93204,260
93205,37
93206,15
93207,5
93208,2
93210,25
93212,246
93215,392
93218,15
93219,105
93220,8
93221,114
93222,73
93223,4291
93224,20
93225,29
93226,3
93230,249
93234,87
93235,1582
93238,12
93239,26
93240,81
93241,4240
93242,84
93243,11
93244,8
93245,317
93247,230
93249,12
93250,160
93251,2
93252,6
93254,6
93255,3
93256,72
93257,169
93258,4729
93260,6
93261,365
93262,1
93263,216
93265,10
93266,28
93267,83
93268,403
93270,94
93271,6
93272,43
93274,326
93276,235
93277,1266
93280,84
93283,10
93285,54
93286,112
93287,2
93291,624
93292,359
93301,2929
93304,6416
93305,6336
93306,733
93307,595
93308,166
93309,5487
93311,241
93312,3729
93313,437
93314,226
93401,401
93402,492
93405,404
93410,0
93420,152
93422,525
93424,479
93426,7
93427,98
93428,82
93429,21
93430,41
93432,15
93433,6084
93434,215
93436,247
93437,86
93440,51
93441,28
93442,241
93444,279
93445,427
93446,105
93449,766
93450,4
93451,7
93452,5
93453,5
93454,85
93455,386
93458,2025
93460,43
93461,5
93463,253
93465,104
93501,33
93505,180
93510,111
93512,2
93513,3
93514,12
93516,119
93517,1
93518,4
93519,1
93522,1
93523,32
93524,112
93526,5
93527,4
93528,45
93529,21
93530,52
93531,15
93532,26
93534,2215
93535,279
93536,292
93541,2
93543,220
93544,11
93545,19
93546,56
93549,1
93550,382
93551,695
93552,787
93553,25
93554,1
93555,399
93558,34
93560,119
93561,131
93562,46
93563,10
93591,88
93592,0
93601,43
93602,27
93603,5
93604,5
93605,420
93606,8109
93608,10
93609,92
93610,88
93611,4075
93612,5344
93614,102
93615,361
93616,189
93618,424
93619,162
93620,55
93621,7
93622,27
93623,2
93624,10
93625,296
93626,14
93627,3
93628,9
93630,123
93631,199
93633,1
93634,0
93635,150
93636,61
93637,140
93638,517
93640,105
93641,19
93643,25
93644,93
93645,6
93646,248
93647,111
93648,685
93650,5725
93651,58
93652,201
93653,5
93654,302
93656,57
93657,164
93660,58
93662,384
93664,3
93665,561
93666,1850
93667,23
93668,33
93669,43
93673,857
93675,47
93701,8274
93702,9234
93703,6741
93704,4955
93705,7528
93706,251
93710,4308
93711,3248
93720,4538
93721,3395
93722,3903
93723,224
