Zip Code,Death Rate
91343,0
91344,4.52
91345,0
91350,4.64
91351,2.96
91352,3.54
91354,0
91355,3.11
91356,0
91361,15.91
91362,1.78
91364,0
91367,5.85
91371,0
91381,0
91384,0
91387,2.38
91390,0
91401,2.59
91402,0
91403,10.81
91405,1.89
91406,1.9
91411,3.91
91423,0
91436,0
91501,0
91502,0
91504,0
91505,0
91506,0
91521,0
91522,0
91523,0
91601,0
91602,0
91604,0
91605,0
91606,3.9
91607,0
91608,0
91702,1.07
91706,1.37
91709,0
91710,3.46
91711,2.69
91722,2.49
91723,5.11
91724,0
91731,0
91732,4.96
91733,0
91740,4.18
91741,0
91744,1.2
91745,0
91746,3.59
91748,0
91750,5.78
91754,7.8
91755,4.46
91765,0
91766,1.36
91767,0
91768,2.98
91770,0
91773,0
91775,0
91776,0
91780,0
91786,3.79
91789,0
91790,0
91791,2.97
91792,0
91801,0
91803,0
93063,14.36
93243,0
93510,0
93532,0
93534,6.05
93535,2.93
93536,3.72
93543,0
93544,0
93550,4.72
93551,3.55
93552,0
93553,0
93560,0
93563,0
93591,0
20,0
93601,0
93604,0
93610,8.8
93614,19.51
93626,0
93636,0
93637,12.58
93638,2.57
93643,23.49
93644,0
93645,0
93669,0
94901,9.84
94903,9.73
94904,7.14
94920,0
94924,0
94925,0
94929,0
94930,5.44
94933,0
94937,117.38
94938,0
94939,8.7
94940,0
94941,10.11
94945,12.52
94946,0
94947,6.17
94949,3.93
94952,10.63
94956,0
94960,14.24
94963,221.22
94964,0
94965,0
94970,0
94971,0
94973,0
58,0
93623,0
93653,0
95306,60.11
95311,26.58
95318,0
95325,0
95338,0
95345,0
95389,0
22,0
95410,0
95415,0
95417,0
95420,0
95427,0
95428,0
95429,0
95432,0
95437,19.94
95445,0
95449,39.39
95454,66.48
95456,0
95459,0
95460,67.4
95466,0
95468,0
95469,0
95470,0
95482,0
95488,0
95490,16.41
95494,0
95585,0
95587,0
93620,0
93635,3
95301,2.65
95303,0
95315,9.48
95317,0
95322,11.84
95324,0
95333,0
95334,0
95340,15.52
95341,4.17
95348,0
95365,0
95369,0
95374,0
95388,0
96006,0
96015,0
96054,0
96101,14.45
96104,0
96108,0
96112,0
96115,0
96116,0
93512,0
93514,0
93517,0
93529,0
93541,0
93546,0
96107,0
96133,0
93426,0
93450,0
93451,0
93901,0
93905,0
93906,3.83
93907,0
93908,0
93920,0
93923,0
93924,0
93925,0
93926,0
93927,0
93930,12.26
93932,0
93933,9.62
93940,3.68
93943,0
93944,0
93950,0
93953,11.19
93955,2.24
93960,0
95012,7.16
95039,127.72
94503,0
94508,0
94515,15.97
94558,3.35
94559,3.28
94567,0
94574,0
94576,0
94599,0
95728,0
95945,8.17
95946,0
95949,9.06
95959,3.7
95975,0
96111,0
96161,0
96162,0
90620,2.23
90621,11.31
90623,0
90630,1.54
90631,4.04
90638,0
90680,3.37
90720,6.27
90740,0
90742,0
90743,0
92530,1.92
92602,0
92603,0
92604,5.01
92606,3.86
92610,10.77
